frame,ID,X,Y,Class,Color,Position
3,1,539,665,Player,red,Defense
3,2,854,480,Player,blue,Attack
3,3,1102,498,Player,red,Defense
3,4,24,313,Player,red,Defense
3,5,534,389,Player,white,Defense
3,6,590,290,Player,white,Defense
3,7,332,303,Player,white,Defense
3,8,1178,444,Player,white,Defense
3,9,566,346,Player,red,Defense
3,10,680,367,Player,white,Defense
3,11,916,329,Player,white,Defense
3,12,398,344,Player,red,Defense
3,13,882,331,Player,red,Defense
3,14,488,202,Player,red,Defense
3,15,671,245,Player,white,Defense
3,16,380,342,Player,red,Defense
3,17,232,130,Player,blue,Attack
3,18,324,128,Player,blue,Attack
4,1,538,665,Player,red,Defense
4,2,856,480,Player,blue,Attack
4,3,1102,499,Player,red,Defense
4,4,23,313,Player,red,Defense
4,5,534,389,Player,white,Defense
4,6,590,289,Player,white,Defense
4,7,336,300,Player,white,Defense
4,8,1180,441,Player,white,Defense
4,9,566,347,Player,red,Defense
4,10,683,368,Player,white,Defense
4,11,922,330,Player,white,Defense
4,12,400,343,Player,red,Defense
4,13,886,329,Player,red,Defense
4,14,490,201,Player,red,Defense
4,15,671,245,Player,blue,Attack
4,16,389,344,Player,red,Defense
4,17,230,129,Player,blue,Attack
4,18,324,127,Player,blue,Attack
5,1,538,664,Player,red,Defense
5,2,858,479,Player,blue,Attack
5,3,1104,499,Player,red,Defense
5,4,21,313,Player,red,Defense
5,5,536,390,Player,white,Defense
5,6,588,288,Player,white,Defense
5,7,340,300,Player,white,Defense
5,8,1182,441,Player,white,Defense
5,9,568,347,Player,red,Defense
5,10,686,361,Player,white,Defense
5,11,924,330,Player,white,Defense
5,12,401,343,Player,red,Defense
5,13,888,327,Player,red,Defense
5,14,492,200,Player,red,Defense
5,15,671,244,Player,white,Defense
5,16,396,343,Player,red,Defense
5,17,228,128,Player,blue,Attack
5,18,322,127,Player,blue,Attack
6,1,538,663,Player,red,Defense
6,2,861,478,Player,blue,Attack
6,3,1104,498,Player,red,Defense
6,4,20,313,Player,red,Defense
6,5,538,389,Player,white,Defense
6,6,586,286,Player,red,Defense
6,7,347,300,Player,white,Defense
6,8,1183,442,Player,white,Defense
6,9,569,347,Player,red,Defense
6,10,690,357,Player,white,Defense
6,11,930,332,Player,white,Defense
6,12,415,336,Player,red,Defense
6,13,892,325,Player,red,Defense
6,14,492,198,Player,red,Defense
6,15,672,244,Player,white,Defense
6,16,400,344,Player,red,Defense
6,17,226,128,Player,blue,Attack
6,18,322,127,Player,blue,Attack
7,1,538,659,Player,red,Defense
