frame,ID,X,Y,Class,Color,Position
3,1,723,638,Player,red,Defense
3,2,561,505,Player,red,Defense
3,3,700,401,Player,red,Defense
3,4,548,394,Player,red,Defense
3,5,372,467,Player,red,Defense
3,6,927,484,Player,red,Defense
3,7,10,579,Player,red,Defense
3,8,474,378,Player,red,Defense
4,1,724,637,Player,red,Defense
4,2,561,504,Player,red,Defense
4,3,700,400,Player,red,Defense
4,4,550,393,Player,red,Defense
4,5,372,466,Player,red,Defense
4,6,927,484,Player,red,Defense
4,8,474,378,Player,red,Defense
5,1,724,637,Player,red,Defense
5,2,561,503,Player,red,Defense
5,3,700,398,Player,red,Defense
5,4,550,391,Player,red,Defense
5,5,372,465,Player,red,Defense
5,6,928,483,Player,red,Defense
5,8,475,377,Player,red,Defense
6,1,725,636,Player,red,Defense
6,2,561,501,Player,red,Defense
6,3,701,397,Player,red,Defense
6,4,550,390,Player,red,Defense
6,5,370,464,Player,red,Defense
6,6,929,482,Player,red,Defense
6,8,474,376,Player,red,Defense
7,1,726,635,Player,red,Defense
7,2,561,500,Player,red,Defense
7,3,702,397,Player,red,Defense
7,4,550,389,Player,red,Defense
7,5,370,463,Player,red,Defense
7,6,929,481,Player,red,Defense
7,8,474,374,Player,red,Defense
8,1,726,635,Player,red,Defense
8,2,561,499,Player,red,Defense
8,3,702,395,Player,red,Defense
8,4,550,389,Player,red,Defense
8,5,370,462,Player,red,Defense
8,6,930,480,Player,red,Defense
8,8,474,373,Player,red,Defense
9,1,727,635,Player,red,Defense
9,2,561,498,Player,red,Defense
9,3,702,394,Player,red,Defense
9,4,549,387,Player,red,Defense
9,5,370,461,Player,red,Defense
9,6,930,479,Player,red,Defense
9,8,474,371,Player,red,Defense
10,1,728,634,Player,red,Defense
10,2,561,498,Player,red,Defense
10,3,702,394,Player,red,Defense
10,4,549,386,Player,red,Defense
10,5,370,460,Player,red,Defense
10,6,931,478,Player,red,Defense
10,8,474,371,Player,red,Defense
11,1,728,634,Player,red,Defense
11,2,561,497,Player,red,Defense
11,3,703,393,Player,red,Defense
11,4,549,384,Player,red,Defense
11,5,369,459,Player,red,Defense
11,6,932,477,Player,red,Defense
11,8,474,370,Player,red,Defense
12,1,728,633,Player,red,Defense
12,2,561,496,Player,red,Defense
12,3,703,392,Player,red,Defense
12,4,549,382,Player,red,Defense
12,5,368,458,Player,red,Defense
12,6,933,476,Player,red,Defense
12,8,474,368,Player,red,Defense
13,1,728,633,Player,red,Defense
13,2,561,495,Player,red,Defense
13,3,704,391,Player,red,Defense
13,4,548,381,Player,red,Defense
13,5,368,457,Player,red,Defense
13,6,934,475,Player,red,Defense
13,8,473,367,Player,red,Defense
13,11,817,367,Player,red,Defense
14,1,728,632,Player,red,Defense
14,2,560,494,Player,red,Defense
14,3,704,390,Player,red,Defense
14,4,548,380,Player,red,Defense
14,5,369,456,Player,red,Defense
14,6,934,475,Player,red,Defense
14,8,472,366,Player,red,Defense
14,11,818,367,Player,red,Defense
15,1,728,631,Player,red,Defense
15,2,560,493,Player,red,Defense
15,3,704,389,Player,red,Defense
15,4,548,379,Player,red,Defense
15,5,369,455,Player,red,Defense
15,6,935,474,Player,red,Defense
15,8,472,366,Player,red,Defense
15,11,818,366,Player,red,Defense
16,1,730,630,Player,red,Defense
16,2,560,492,Player,red,Defense
16,3,704,388,Player,red,Defense
16,4,549,379,Player,red,Defense
16,5,368,455,Player,red,Defense
16,6,936,473,Player,red,Defense
16,8,472,364,Player,red,Defense
16,11,819,365,Player,red,Defense
17,1,729,630,Player,red,Defense
17,2,560,491,Player,red,Defense
17,3,705,387,Player,red,Defense
17,4,549,379,Player,red,Defense
17,5,367,454,Player,red,Defense
17,6,936,472,Player,red,Defense
17,8,472,363,Player,red,Defense
17,11,820,364,Player,red,Defense
