frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,723,638,Player,red,Defense,2.751381972281599,16.886955863669304
3,2,561,505,Player,red,Defense,-3.7180377697106057,5.911263768868659
3,3,700,401,Player,red,Defense,-2.079572653710754,-6.200292526247811
3,4,548,394,Player,red,Defense,-10.62654568105378,-14.441692130476993
3,5,372,467,Player,red,Defense,-15.02347530356383,-4.356039112179873
3,6,927,484,Player,red,Defense,5.861162771231473,8.575682537967875
3,7,10,579,Player,red,Defense,-26.269994959720677,5.477616511505469
3,8,474,378,Player,red,Defense,-18.575926834202633,-25.22745162940515
4,1,724,637,Player,red,Defense,2.761505951415216,16.842780615939738
4,2,561,504,Player,red,Defense,-3.752682141068101,5.798899045844511
4,3,700,400,Player,red,Defense,-2.116935456832452,-6.395512634052446
4,4,550,393,Player,red,Defense,-10.585693643300154,-14.621004988953281
4,5,372,466,Player,red,Defense,-15.126434233239957,-4.564929340475207
4,6,927,484,Player,red,Defense,5.861162771231473,8.575682537967875
4,8,474,378,Player,red,Defense,-18.575926834202633,-25.22745162940515
5,1,724,637,Player,red,Defense,2.761505951415216,16.842780615939738
5,2,561,503,Player,red,Defense,-3.7875573810102985,5.6857855291907615
5,3,700,398,Player,red,Defense,-2.192621710185875,-6.790972216965862
5,4,550,391,Player,red,Defense,-10.772621963540079,-15.208459836291158
5,5,372,465,Player,red,Defense,-15.230373121983025,-4.775807777795818
5,6,928,483,Player,red,Defense,5.879802601789119,8.50435096593197
5,8,475,377,Player,red,Defense,-18.646450529356773,-25.570970925637134
6,1,725,636,Player,red,Defense,2.771660622082436,16.79847144793219
6,2,561,501,Player,red,Defense,-3.85800975956565,5.457281974570737
6,3,701,397,Player,red,Defense,-2.187183698278476,-6.955704449004145
6,4,550,390,Player,red,Defense,-10.867609201515638,-15.506973797751662
6,5,370,464,Player,red,Defense,-15.467508572909278,-5.062721927110282
6,6,929,482,Player,red,Defense,5.898513481944954,8.432747498745734
6,8,474,376,Player,red,Defense,-18.914961432324557,-26.09848529739006
7,1,726,635,Player,red,Defense,2.781846124060335,16.75402774973948
7,2,561,500,Player,red,Defense,-3.893591622828331,5.341876612789559
7,3,702,397,Player,red,Defense,-2.1435173621115866,-6.920237981264695
7,4,550,389,Player,red,Defense,-10.963634007309137,-15.808748497035687
7,5,370,463,Player,red,Defense,-15.574367500282834,-5.278589180406841
7,6,929,481,Player,red,Defense,5.896363445500981,8.350202538821886
7,8,474,374,Player,red,Defense,-19.2632096321458,-26.993190169812408
8,1,726,635,Player,red,Defense,2.781846124060335,16.75402774973948
8,2,561,499,Player,red,Defense,-3.9294138050309466,5.225691806323269
8,3,702,395,Player,red,Defense,-2.2202368332642215,-7.324437973565249
8,4,550,389,Player,red,Defense,-10.963634007309137,-15.808748497035687
8,5,370,462,Player,red,Defense,-15.682260985905678,-5.496546359675336
8,6,930,480,Player,red,Defense,5.915191271710353,8.27797775044849
8,8,474,373,Player,red,Defense,-19.44090700529439,-27.44972291184614
9,1,727,635,Player,red,Defense,2.800271435363713,16.75766551438143
9,2,561,498,Player,red,Defense,-3.9654787490845913,5.1087196318926305
9,3,702,394,Player,red,Defense,-2.259097108193361,-7.52917508386033
9,4,549,387,Player,red,Defense,-11.228759715038764,-16.482381730731404
9,5,370,461,Player,red,Defense,-15.791204127025079,-5.716623963081674
9,6,930,479,Player,red,Defense,5.9130755786973985,8.194645908332388
9,8,474,371,Player,red,Defense,-19.803696117233272,-28.3817856943102
10,1,728,634,Player,red,Defense,2.8105100155854355,16.713117906115507
10,2,561,498,Player,red,Defense,-3.9654787490845913,5.1087196318926305
10,3,702,394,Player,red,Defense,-2.259097108193361,-7.52917508386033
10,4,549,386,Player,red,Defense,-11.328541820514229,-16.7950770134224
10,5,370,460,Player,red,Defense,-15.901212316075124,-5.938853085102971
10,6,931,478,Player,red,Defense,5.9320217123356755,8.121791403459135
10,8,474,371,Player,red,Defense,-19.803696117233272,-28.3817856943102
11,1,728,634,Player,red,Defense,2.8105100155854355,16.713117906115507
11,2,561,497,Player,red,Defense,-4.001788931123442,4.990952058463461
11,3,703,393,Player,red,Defense,-2.2537874998603944,-7.698721851651757
11,4,549,384,Player,red,Defense,-11.531472861517312,-17.431018487405847
11,5,369,459,Player,red,Defense,-16.081033699409716,-6.2028245301375255
11,6,932,477,Player,red,Defense,5.951040864545991,8.04865611665885
11,8,474,370,Player,red,Defense,-19.98889113741039,-28.857581081008178
12,1,728,633,Player,red,Defense,2.8023101853133543,16.66473430459565
12,2,561,496,Player,red,Defense,-4.0383468610714965,4.872380945408466
12,3,703,392,Player,red,Defense,-2.2930885606674045,-7.906646876709401
12,4,549,382,Player,red,Defense,-11.739020670633165,-18.081427902341836
12,5,368,458,Player,red,Defense,-16.263124952319743,-6.4701280636075955
12,6,933,476,Player,red,Defense,5.97013345826472,7.975238421593403
12,8,474,368,Player,red,Defense,-20.367151282341098,-29.829391401596798
13,1,728,633,Player,red,Defense,2.8023101853133543,16.66473430459565
13,2,561,495,Player,red,Defense,-4.075155083220916,4.7529980406314865
13,3,704,391,Player,red,Defense,-2.287847016881047,-8.078682353470796
13,4,548,381,Player,red,Defense,-11.918063523961436,-18.4775951844265
13,5,368,457,Player,red,Defense,-16.377423429151335,-6.7000300205374455
13,6,934,475,Player,red,Defense,5.989299919700844,7.901536679340325
13,8,473,367,Player,red,Defense,-20.66914370370396,-30.43068440352101
13,11,817,367,Player,red,Defense,1.7042437831403692,-8.84383740724126
14,1,728,632,Player,red,Defense,2.7940758340099165,16.61614700961269
14,2,560,494,Player,red,Defense,-4.149004984520944,4.615354289234709
14,3,704,390,Player,red,Defense,-2.3275978252922895,-8.289868923422702
14,4,548,380,Player,red,Defense,-12.025425451197483,-18.813093708422386
14,5,369,456,Player,red,Defense,-16.4224428514178,-6.891022993347429
14,6,934,475,Player,red,Defense,5.989299919700844,7.901536679340325
14,8,472,366,Player,red,Defense,-20.97669113197645,-31.043037904133637
14,11,818,367,Player,red,Defense,1.7429959174293765,-8.80644761125404
15,1,728,631,Player,red,Defense,2.7858067432165674,16.56735473213848
15,2,560,493,Player,red,Defense,-4.186483906685579,4.4941475454163236
15,3,704,389,Player,red,Defense,-2.367701252376429,-8.50292887233232
15,4,548,379,Player,red,Defense,-12.13403182420747,-19.1524810385444
15,5,369,455,Player,red,Defense,-16.538529914246435,-7.125026498430184
15,6,935,474,Player,red,Defense,6.008540678367654,7.827549238270863
15,8,472,366,Player,red,Defense,-20.97669113197645,-31.043037904133637
15,11,818,366,Player,red,Defense,1.7217354673938479,-9.014098387392707
16,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
16,2,560,492,Player,red,Defense,-4.224222336020076,4.37210155603701
16,3,704,388,Player,red,Defense,-2.4081620110141655,-8.717887238611425
16,4,549,379,Player,red,Defense,-12.059349448162164,-19.08526819180259
16,5,368,455,Player,red,Defense,-16.60946607177626,-7.166764653486683
16,6,936,473,Player,red,Defense,6.027856167114885,7.753274433926535
16,8,472,364,Player,red,Defense,-21.382006274590488,-32.07919928508438
16,11,819,365,Player,red,Defense,1.7393359461332898,-9.18541835394855
17,1,729,630,Player,red,Defense,2.796103743030035,16.522165103051687
17,2,560,491,Player,red,Defense,-4.262222977161786,4.249207574306046
17,3,705,387,Player,red,Defense,-2.403206041069718,-8.895415303243098
17,4,549,379,Player,red,Defense,-12.059349448162164,-19.08526819180259
17,5,367,454,Player,red,Defense,-16.798901105859176,-7.44606222245398
17,6,936,472,Player,red,Defense,6.026012705817581,7.667335752224055
17,8,472,363,Player,red,Defense,-21.589146146321497,-32.6087386804263
17,11,820,364,Player,red,Defense,1.757046237542318,-9.357807217729317
18,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
18,2,560,490,Player,red,Defense,-4.300488572463489,4.12545673146116
18,3,706,386,Player,red,Defense,-2.3982178519920367,-9.074097491170987
18,4,550,378,Player,red,Defense,-12.09355923537199,-19.35973558932284
18,5,367,453,Player,red,Defense,-16.918406161793975,-7.685919713685453
18,6,936,471,Player,red,Defense,6.024159314288962,7.580934141904621
18,8,472,362,Player,red,Defense,-21.79936299529729,-33.14614416478369
18,11,820,363,Player,red,Defense,1.7356214037320121,-9.570039647041082
19,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
19,2,560,489,Player,red,Defense,-4.33902190265309,4.000840034635069
19,3,705,384,Player,red,Defense,-2.5271191800211503,-9.556506890192798
19,4,550,377,Player,red,Defense,-12.203484122148787,-19.705193717321905
19,5,366,452,Player,red,Defense,-17.112061152596628,-7.971854333559109
19,6,938,470,Player,red,Defense,6.0649671974584,7.517178418067682
19,8,472,360,Player,red,Defense,-22.2293060035387,-34.245265056927984
19,11,821,361,Player,red,Defense,1.7318510605545567,-9.96043881648354
20,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
20,2,560,488,Player,red,Defense,-4.377825787507216,3.875348364676922
20,3,705,383,Player,red,Defense,-2.5691754517123964,-9.780882187508503
20,4,551,376,Player,red,Defense,-12.238653535802813,-19.985077629128195
20,5,366,451,Player,red,Defense,-17.2345744870549,-8.217221384259753
20,6,938,469,Player,red,Defense,6.063211870304747,7.430032084146679
20,8,472,358,Player,red,Defense,-22.67241336549276,-35.378039749505824
20,11,822,361,Player,red,Defense,1.7713959691182888,-9.92091626372604
21,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
21,2,560,487,Player,red,Defense,-4.416903086539096,3.7489724739278505
21,3,706,381,Player,red,Defense,-2.607206653843274,-10.193786394767338
21,4,551,375,Player,red,Defense,-12.35055458244472,-20.337746106456205
21,5,366,451,Player,red,Defense,-17.2345744870549,-8.217221384259753
21,6,938,468,Player,red,Defense,6.061447024870912,7.342413198301992
21,8,472,357,Player,red,Defense,-22.89909407898846,-35.95753401566075
21,11,822,360,Player,red,Defense,1.749804541142995,-10.137879732578101
22,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
22,2,560,485,Player,red,Defense,-4.495889568101484,3.4935303832030455
22,3,706,380,Player,red,Defense,-2.650160055205065,-10.42391569571789
22,4,550,374,Player,red,Defense,-12.541106077794089,-20.76622959544332
22,5,366,450,Player,red,Defense,-17.358354250111223,-8.465124810705968
22,6,939,467,Player,red,Defense,6.081138230102265,7.26613890309942
22,8,472,356,Player,red,Defense,-23.129299097132904,-36.54603793378226
22,11,823,356,Player,red,Defense,1.7019794488910438,-10.983373696002264
23,1,730,630,Player,red,Defense,2.814683184835886,16.525969609072895
23,2,560,484,Player,red,Defense,-4.535804674738457,3.3644450246813205
23,3,707,379,Player,red,Defense,-2.645844462451621,-10.613276519711214
23,4,550,373,Player,red,Defense,-12.656340766125659,-21.128374700877142
23,5,366,448,Player,red,Defense,-17.609792429390698,-8.968699746088712
23,6,940,466,Player,red,Defense,6.100907143071855,7.189563605347925
23,8,471,356,Player,red,Defense,-23.253410877205837,-36.67380532828341
23,11,823,355,Player,red,Defense,1.6796233628923254,-11.209648574236967
24,1,730,629,Player,red,Defense,2.806432330400536,16.476836848150413
24,2,560,483,Player,red,Defense,-4.576005045247236,3.234437123486683
24,3,707,378,Player,red,Defense,-2.6893214854352894,-10.847198179379392
24,4,550,371,Player,red,Defense,-12.890998059494617,-21.865826170380792
24,5,365,447,Player,red,Defense,-17.813453192593524,-9.271164034531713
24,6,941,466,Player,red,Defense,6.122368198526392,7.201447515842337
24,8,471,354,Player,red,Defense,-23.727718208736565,-37.88334114064506
24,11,824,355,Player,red,Defense,1.7201923627072484,-11.16763554689879
25,1,729,629,Player,red,Defense,2.7878087481440788,16.472995672019493
25,2,560,483,Player,red,Defense,-4.576005045247236,3.234437123486683
25,3,707,378,Player,red,Defense,-2.6893214854352894,-10.847198179379392
25,4,550,370,Player,red,Defense,-13.01047170682091,-22.24129294374549
25,5,364,445,Player,red,Defense,-18.15147708786692,-9.840175348440752
25,6,942,465,Player,red,Defense,6.142242798468175,7.1246505444195485
25,8,471,352,Player,red,Defense,-24.21728106193323,-39.131780209533815
25,11,824,353,Player,red,Defense,1.6752972534481358,-11.625350578086033
26,1,729,628,Player,red,Defense,2.779478555606583,16.423617603305953
26,2,560,482,Player,red,Defense,-4.616493748665294,3.103496754359396
26,3,708,376,Player,red,Defense,-2.7291155194816734,-11.277318260976061
26,4,550,368,Player,red,Defense,-13.253841331819388,-23.006124434857476
26,5,364,444,Player,red,Defense,-18.284499345263743,-10.105447834914692
26,6,943,463,Player,red,Defense,6.1606847556916815,6.9580137729278215
26,8,470,351,Player,red,Defense,-24.600437862505594,-39.91163076799775
26,11,825,351,Player,red,Defense,1.6709035360704048,-12.047549124338797
27,1,729,628,Player,red,Defense,2.779478555606583,16.423617603305953
27,2,560,481,Player,red,Defense,-4.657273898213228,2.971613849151543
27,3,709,375,Player,red,Defense,-2.724998893151883,-11.472655020207908
27,4,550,366,Player,red,Defense,-13.503291550597236,-23.79006525239897
27,5,363,443,Player,red,Defense,-18.497785640221196,-10.423132610185982
27,6,944,462,Player,red,Defense,6.180769145301843,6.880216469812535
27,8,470,350,Player,red,Defense,-24.856929010729374,-40.564095816636325
27,11,825,350,Player,red,Defense,1.647953329620121,-12.283248725957808
28,1,729,627,Player,red,Defense,2.7711129409131217,16.374029566138113
28,2,561,480,Player,red,Defense,-4.659155975277333,2.858863556139883
28,3,709,374,Player,red,Defense,-2.7695576105402515,-11.714442968809829
28,4,550,365,Player,red,Defense,-13.630368544519126,-24.18942686849181
28,5,362,442,Player,red,Defense,-18.714021963541857,-10.745211381319978
28,6,946,461,Player,red,Defense,6.222532729340464,6.814404122111767
28,8,469,349,Player,red,Defense,-25.25405224227291,-41.373749168674266
28,11,826,348,Player,red,Defense,1.6432883640234368,-12.71592906142302
29,1,729,627,Player,red,Defense,2.7711129409131217,16.374029566138113
29,2,561,479,Player,red,Defense,-4.7003453790899385,2.7252708318507306
29,3,709,372,Player,red,Defense,-2.8599491460963,-12.204932489919416
29,4,550,364,Player,red,Defense,-13.759053131623293,-24.593840626530145
29,5,361,440,Player,red,Defense,-19.0741101038922,-11.350840714316707
29,6,946,460,Player,red,Defense,6.221178551397285,6.723689790349721
29,8,468,347,Player,red,Defense,-25.93275617568867,-42.89199224957461
29,11,826,347,Player,red,Defense,1.6199227516574377,-12.95766785619728
30,1,728,626,Player,red,Defense,2.743932420445959,16.320272721948015
30,2,560,477,Player,red,Defense,-4.823372813701804,2.4344503573708565
30,3,710,371,Player,red,Defense,-2.85621273810918,-12.406964458307385
30,4,550,363,Player,red,Defense,-13.889376011486874,-25.003403005289183
30,5,360,439,Player,red,Defense,-19.298655700937246,-11.685784518253918
30,6,948,459,Player,red,Defense,6.263159259893008,6.657420106584914
30,8,468,346,Player,red,Defense,-26.210511921427894,-43.59507235951367
30,11,827,345,Player,red,Defense,1.6149741704573468,-13.401227667642337
31,1,728,626,Player,red,Defense,2.743932420445959,16.320272721948015
31,2,560,476,Player,red,Defense,-4.865658495460649,2.297698564626775
31,3,710,369,Player,red,Defense,-2.948630328568446,-12.910594653224186
31,4,550,361,Player,red,Defense,-14.155063406585608,-25.838371981242084
31,5,359,438,Player,red,Defense,-19.52639052109704,-12.025485532021627
