ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
1,0.36774710050878734,3.677471005087874,4.303926439545059,13.238895618316347,15.494135182362212,8,3,4,0,1,0.010462939726420307,0.23333333333333334,94.56354013083103
2,1.2762607045825916,9.571955284369437,11.572613315843185,34.45903902372998,41.66140793703547,27,4,22,0,1,14.246640302868784,0.8666666666666667,88.35651031725634
3,0.6994655219510607,5.245991414632956,8.912122877529628,18.88556909267864,32.08364235910666,19,4,14,0,1,1.1419651327696716,0.6,69.94655219510608
4,0.334406911080735,3.34406911080735,3.34406911080735,12.038648798906461,12.038648798906461,27,3,23,0,1,0.14830692041123492,0.8666666666666667,23.15124769020473
7,0.0,0.0,0.0,0.0,0.0,27,0,26,0,1,8.933354113584112,0.8666666666666667,0.0
8,0.17306517340908084,1.7306517340908085,1.7306517340908085,6.2303462427269105,6.2303462427269105,27,3,23,0,1,0.061542912600254226,0.8666666666666667,11.981435082167135
11,0.6212300666695773,9.318451000043659,9.318451000043659,33.546423600157176,33.546423600157176,27,2,24,0,1,13.381328896207176,0.8666666666666667,43.008235384816885
13,1.279605092555584,6.39802546277792,7.263696096023669,23.032891666000513,26.14930594568521,27,6,20,0,1,1.390220057261181,0.8666666666666667,88.58804486923273
15,0.0,0.0,0.0,0.0,0.0,27,0,26,0,1,82.06028203489431,0.8666666666666667,0.0
16,0.0,0.0,0.0,0.0,0.0,27,0,26,0,1,4.099216253471016,0.8666666666666667,0.0
69,0.5216889974401482,7.825334961602223,7.8644772958833045,28.171205861768005,28.312118265179897,18,2,15,0,1,0.06675485052439518,0.5666666666666667,55.23765855248628
93,0.0,0.0,0.0,,,1,0,0,0,0,0.0,0.0,
156,0.0,0.0,0.0,0.0,0.0,10,0,9,0,1,24.66755148070733,0.3,0.0
