frame,ID,X,Y,Class,Color,Position
3,1,734,334,Player,red,Defense
3,2,450,534,Player,red,Defense
3,3,550,184,Player,red,Defense
3,4,838,159,Player,red,Defense
3,5,404,105,Player,red,Defense
3,6,1080,316,Player,red,Defense
3,7,865,104,Player,red,Defense
3,8,132,113,Player,red,Defense
3,9,1050,276,Player,red,Defense
3,11,1067,194,Player,red,Defense
3,12,157,107,Player,red,Defense
4,1,734,334,Player,red,Defense
4,2,444,514,Player,red,Defense
4,3,550,184,Player,red,Defense
4,4,826,161,Player,red,Defense
4,5,404,104,Player,red,Defense
4,6,1080,316,Player,red,Defense
4,7,865,104,Player,red,Defense
4,8,132,126,Player,red,Defense
4,9,1050,275,Player,red,Defense
4,10,1246,379,Player,red,Defense
4,11,1066,195,Player,red,Defense
4,12,156,105,Player,red,Defense
4,14,20,187,Player,red,Defense
4,0,438,378,Ball,blue,Ball
4,0,458,255,Ball,blue,Ball
5,1,734,334,Player,red,Defense
5,2,448,514,Player,red,Defense
5,3,550,184,Player,red,Defense
5,4,826,161,Player,red,Defense
5,5,404,104,Player,red,Defense
5,6,1080,316,Player,red,Defense
5,7,865,104,Player,red,Defense
5,8,132,129,Player,red,Defense
5,9,1050,275,Player,red,Defense
5,10,1246,379,Player,red,Defense
5,11,1066,195,Player,red,Defense
5,12,156,105,Player,red,Defense
5,14,20,187,Player,red,Defense
5,0,460,255,Ball,blue,Ball
6,1,734,334,Player,red,Defense
6,2,451,510,Player,red,Defense
6,3,550,184,Player,red,Defense
6,4,825,161,Player,red,Defense
6,5,404,104,Player,red,Defense
6,6,1080,316,Player,red,Defense
6,7,865,104,Player,red,Defense
6,8,132,130,Player,red,Defense
6,9,1050,275,Player,red,Defense
6,11,1066,194,Player,red,Defense
6,12,156,105,Player,red,Defense
6,14,20,187,Player,red,Defense
6,0,461,256,Ball,blue,Ball
7,1,734,334,Player,red,Defense
7,2,452,491,Player,red,Defense
7,3,552,184,Player,red,Defense
7,4,820,160,Player,red,Defense
7,5,404,104,Player,red,Defense
7,6,1080,316,Player,red,Defense
7,7,864,104,Player,red,Defense
7,8,132,127,Player,red,Defense
7,9,1050,276,Player,red,Defense
7,11,1066,194,Player,red,Defense
7,12,156,105,Player,red,Defense
7,14,20,187,Player,red,Defense
7,0,554,256,Ball,blue,Ball
8,1,734,334,Player,red,Defense
8,2,448,489,Player,red,Defense
8,3,552,185,Player,red,Defense
8,4,818,161,Player,red,Defense
8,5,404,104,Player,red,Defense
8,6,1080,316,Player,red,Defense
8,7,864,104,Player,red,Defense
8,8,132,127,Player,red,Defense
8,9,1050,276,Player,red,Defense
8,11,1066,194,Player,red,Defense
8,12,156,105,Player,red,Defense
8,14,20,187,Player,red,Defense
9,1,734,335,Player,red,Defense
9,2,442,489,Player,red,Defense
9,3,552,185,Player,red,Defense
9,4,816,161,Player,red,Defense
9,5,404,104,Player,red,Defense
9,6,1080,316,Player,red,Defense
9,7,864,104,Player,red,Defense
9,8,132,126,Player,red,Defense
9,9,1050,275,Player,red,Defense
9,11,1066,194,Player,red,Defense
9,12,156,105,Player,red,Defense
9,14,20,187,Player,red,Defense
10,1,734,334,Player,red,Defense
10,2,438,495,Player,red,Defense
10,3,552,185,Player,red,Defense
10,4,814,161,Player,red,Defense
10,5,404,104,Player,red,Defense
10,6,1080,316,Player,red,Defense
10,7,864,104,Player,red,Defense
10,8,132,119,Player,red,Defense
10,9,1050,276,Player,red,Defense
10,11,1066,196,Player,red,Defense
10,12,156,105,Player,red,Defense
10,14,20,188,Player,red,Defense
10,0,482,463,Ball,blue,Ball
11,1,734,334,Player,red,Defense
11,2,436,499,Player,red,Defense
11,3,552,185,Player,red,Defense
11,4,814,161,Player,red,Defense
11,5,405,104,Player,red,Defense
11,6,1080,316,Player,red,Defense
11,7,864,104,Player,red,Defense
11,8,132,116,Player,red,Defense
11,9,1050,276,Player,red,Defense
11,11,1066,196,Player,red,Defense
11,12,156,105,Player,red,Defense
11,14,20,188,Player,red,Defense
12,1,734,334,Player,red,Defense
12,2,440,500,Player,red,Defense
12,3,552,185,Player,red,Defense
12,4,814,161,Player,red,Defense
12,5,405,104,Player,red,Defense
12,6,1080,316,Player,red,Defense
12,7,864,104,Player,red,Defense
12,8,132,115,Player,red,Defense
12,9,1050,276,Player,red,Defense
12,11,1066,197,Player,red,Defense
12,14,20,188,Player,red,Defense
12,0,667,232,Ball,blue,Ball
13,1,734,333,Player,red,Defense
13,2,446,501,Player,red,Defense
13,3,552,184,Player,red,Defense
13,4,814,161,Player,red,Defense
13,5,405,104,Player,red,Defense
13,6,1080,316,Player,red,Defense
13,7,864,104,Player,red,Defense
13,8,132,115,Player,red,Defense
13,9,1050,276,Player,red,Defense
13,11,1066,197,Player,red,Defense
13,14,20,188,Player,red,Defense
14,1,732,332,Player,red,Defense
14,2,454,501,Player,red,Defense
14,3,552,184,Player,red,Defense
14,4,814,161,Player,red,Defense
14,5,405,104,Player,red,Defense
14,6,1080,316,Player,red,Defense
14,7,864,104,Player,red,Defense
14,8,132,116,Player,red,Defense
14,9,1050,276,Player,red,Defense
14,11,1066,197,Player,red,Defense
14,14,20,188,Player,red,Defense
15,1,729,331,Player,red,Defense
15,2,460,502,Player,red,Defense
15,3,553,185,Player,red,Defense
15,4,813,161,Player,red,Defense
15,5,405,104,Player,red,Defense
15,6,1080,316,Player,red,Defense
15,7,864,104,Player,red,Defense
15,8,132,117,Player,red,Defense
15,9,1050,276,Player,red,Defense
15,11,1066,197,Player,red,Defense
15,14,20,188,Player,red,Defense
15,0,708,217,Ball,blue,Ball
16,1,727,330,Player,red,Defense
16,2,463,501,Player,red,Defense
16,3,553,185,Player,red,Defense
16,4,812,161,Player,red,Defense
16,5,405,104,Player,red,Defense
16,6,1080,316,Player,red,Defense
16,7,864,104,Player,red,Defense
16,8,132,115,Player,red,Defense
16,9,1050,276,Player,red,Defense
16,11,1066,197,Player,red,Defense
16,14,20,188,Player,red,Defense
16,0,718,194,Ball,blue,Ball
17,1,724,331,Player,red,Defense
17,2,464,500,Player,red,Defense
17,3,553,185,Player,red,Defense
17,4,814,161,Player,red,Defense
17,5,405,104,Player,red,Defense
17,6,1080,316,Player,red,Defense
17,7,864,104,Player,red,Defense
17,8,132,114,Player,red,Defense
17,9,1050,276,Player,red,Defense
17,11,1066,197,Player,red,Defense
17,14,20,188,Player,red,Defense
18,1,723,331,Player,red,Defense
18,2,462,496,Player,red,Defense
18,3,553,184,Player,red,Defense
18,4,814,161,Player,red,Defense
18,5,405,104,Player,red,Defense
18,6,1080,316,Player,red,Defense
18,7,864,104,Player,red,Defense
18,8,132,113,Player,red,Defense
18,9,1050,276,Player,red,Defense
18,11,1066,196,Player,red,Defense
