frame,ID,X,Y,Class,Color,Position
3,1,563,446,Player,red,Defense
3,2,929,661,Player,red,Defense
3,3,610,273,Player,red,Defense
3,4,436,213,Player,red,Defense
3,5,668,365,Player,red,Defense
3,6,836,213,Player,red,Defense
3,7,1028,397,Player,red,Defense
3,8,1203,273,Player,red,Defense
4,1,563,445,Player,red,Defense
4,2,930,661,Player,red,Defense
4,3,611,273,Player,red,Defense
4,4,435,211,Player,red,Defense
4,5,668,364,Player,red,Defense
4,6,836,211,Player,red,Defense
4,7,1030,396,Player,red,Defense
4,8,1205,274,Player,red,Defense
5,1,562,445,Player,red,Defense
5,2,932,661,Player,red,Defense
5,3,612,272,Player,red,Defense
5,4,434,209,Player,red,Defense
5,5,668,363,Player,red,Defense
5,6,838,209,Player,red,Defense
5,7,1032,396,Player,red,Defense
5,8,1210,271,Player,red,Defense
5,11,1018,288,Player,red,Defense
6,1,562,444,Player,red,Defense
6,2,932,660,Player,red,Defense
6,3,614,270,Player,red,Defense
6,4,434,207,Player,red,Defense
6,5,668,362,Player,red,Defense
6,6,839,207,Player,red,Defense
6,7,1035,396,Player,red,Defense
6,8,1212,271,Player,red,Defense
6,11,1021,286,Player,red,Defense
6,15,194,207,Player,red,Defense
7,1,562,444,Player,red,Defense
7,2,934,658,Player,red,Defense
7,3,615,268,Player,red,Defense
7,4,434,205,Player,red,Defense
7,5,668,361,Player,red,Defense
7,6,840,205,Player,red,Defense
7,7,1037,394,Player,red,Defense
7,8,1215,269,Player,red,Defense
7,11,1022,285,Player,red,Defense
7,15,191,203,Player,red,Defense
8,1,562,443,Player,red,Defense
8,2,936,655,Player,red,Defense
8,3,617,267,Player,red,Defense
8,4,432,204,Player,red,Defense
8,5,668,360,Player,red,Defense
8,6,841,204,Player,red,Defense
8,7,1038,393,Player,red,Defense
8,8,1218,267,Player,red,Defense
8,11,1024,283,Player,red,Defense
8,15,190,200,Player,red,Defense
9,1,562,442,Player,red,Defense
9,2,936,651,Player,red,Defense
9,3,617,265,Player,red,Defense
9,4,430,201,Player,red,Defense
9,5,670,359,Player,red,Defense
9,6,842,203,Player,red,Defense
9,7,1039,392,Player,red,Defense
9,8,1220,265,Player,red,Defense
9,11,1026,282,Player,red,Defense
9,15,187,199,Player,red,Defense
10,1,562,441,Player,red,Defense
10,2,937,646,Player,red,Defense
10,3,617,263,Player,red,Defense
10,4,430,200,Player,red,Defense
10,5,670,358,Player,red,Defense
10,6,842,200,Player,red,Defense
10,7,1040,390,Player,red,Defense
10,8,1225,262,Player,red,Defense
10,11,1027,281,Player,red,Defense
10,15,185,198,Player,red,Defense
10,19,1190,276,Player,red,Defense
10,20,87,277,Player,red,Defense
11,1,561,440,Player,red,Defense
11,2,938,642,Player,red,Defense
11,3,618,259,Player,red,Defense
11,4,428,198,Player,red,Defense
11,5,670,357,Player,red,Defense
11,6,844,198,Player,red,Defense
11,7,1042,390,Player,red,Defense
11,8,1227,261,Player,red,Defense
11,11,1031,273,Player,red,Defense
11,15,183,197,Player,red,Defense
11,19,1194,275,Player,red,Defense
11,20,86,276,Player,red,Defense
12,1,560,440,Player,red,Defense
12,2,938,639,Player,red,Defense
12,3,617,255,Player,red,Defense
12,4,427,196,Player,red,Defense
12,5,670,356,Player,red,Defense
