frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,563,446,Player,red,Defense,0.7226911261074569,7.1453318701318524
3,2,929,661,Player,red,Defense,5.4780842996774375,17.25808523617298
3,3,610,273,Player,red,Defense,-0.13636831827944995,-7.625716449300415
3,4,436,213,Player,red,Defense,-3.9994732498928265,-14.151286402250522
3,5,668,365,Player,red,Defense,1.5485857561665144,1.0093018357062338
3,6,836,213,Player,red,Defense,3.3923836045266778,-16.722906696737077
3,7,1028,397,Player,red,Defense,6.800898754709387,2.495892533124674
3,8,1203,273,Player,red,Defense,10.318704578603038,-10.646040730717665
4,1,563,445,Player,red,Defense,0.7155981466435861,7.0817450753325675
4,2,930,661,Player,red,Defense,5.4881482755504525,17.25709743824785
4,3,611,273,Player,red,Defense,-0.12001729192651851,-7.630440032044117
4,4,435,211,Player,red,Defense,-4.057594101309452,-14.421092131019075
4,5,668,364,Player,red,Defense,1.5418216463831118,0.9267250831470354
4,6,836,211,Player,red,Defense,3.3820987204576536,-17.026025170930634
4,7,1030,396,Player,red,Defense,6.831757923268269,2.4109121471705723
4,8,1205,274,Player,red,Defense,10.347328970179053,-10.529805554061332
5,1,562,445,Player,red,Defense,0.7032312089057177,7.083939738114011
5,2,932,661,Player,red,Defense,5.508280600924922,17.255121413117838
5,3,612,272,Player,red,Defense,-0.1146809534350587,-7.747885822770543
5,4,434,209,Player,red,Defense,-4.116186120017528,-14.693085089178519
5,5,668,363,Player,red,Defense,1.5350355818731996,0.8438803056626618
5,6,838,209,Player,red,Defense,3.4111434694979934,-17.345722360426475
5,7,1032,396,Player,red,Defense,6.860907246619028,2.4049944287452383
5,8,1210,271,Player,red,Defense,10.471260616121693,-10.940813946030644
5,11,1018,288,Player,red,Defense,6.85164190535428,-7.871087303217141
6,1,562,444,Player,red,Defense,0.6961011707807053,7.020181302985758
6,2,932,660,Player,red,Defense,5.508040625135431,17.216373470116878
6,3,614,270,Player,red,Defense,-0.10394353635765015,-7.984202248543354
6,4,434,207,Player,red,Defense,-4.157581516740942,-14.973560474134512
6,5,668,362,Player,red,Defense,1.5282274555731237,0.7607661962121276
6,6,839,207,Player,red,Defense,3.420652796131523,-17.66142599622324
6,7,1035,396,Player,red,Defense,6.90465394609083,2.3961132397585625
6,8,1212,271,Player,red,Defense,10.509528436123373,-10.951935626002545
6,11,1021,286,Player,red,Defense,6.909000582283548,-8.11757199921303
6,15,194,207,Player,red,Defense,-8.265080132312377,-13.516703447152867
7,1,562,444,Player,red,Defense,0.6961011707807053,7.020181302985758
7,2,934,658,Player,red,Defense,5.527764702086621,17.136617373557048
7,3,615,268,Player,red,Defense,-0.10963923909225953,-8.217592910044116
7,4,434,205,Player,red,Defense,-4.199326691327708,-15.256405786392534
7,5,668,361,Player,red,Defense,1.5213971597219615,0.6773814392421036
7,6,840,205,Player,red,Defense,3.430249979494782,-17.980046419935054
7,7,1037,394,Player,red,Defense,6.937718363098537,2.23106405967524
7,8,1215,269,Player,red,Defense,10.586874584746518,-11.22731047474669
7,11,1022,285,Player,red,Defense,6.929008282786195,-8.239133960752639
7,15,191,203,Player,red,Defense,-8.430033622168741,-14.036652027959459
8,1,562,443,Player,red,Defense,0.6889508501931924,6.9562414974290645
8,2,936,655,Player,red,Defense,5.547385727174131,17.017280550477732
8,3,617,267,Player,red,Defense,-0.0876735849657382,-8.34228247702997
8,4,432,204,Player,red,Defense,-4.2558812168734415,-15.385994792081794
