frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,563,446,Player,red,Defense,3.059547253665475,11.421997816075063
3,2,929,661,Player,red,Defense,7.366164720876268,18.106464242397756
3,3,610,273,Player,red,Defense,2.061090915731027,-3.482364646132073
3,4,436,213,Player,red,Defense,-1.4407554906317162,-6.9627469149786005
3,5,668,365,Player,red,Defense,3.703259286175692,4.391915872168837
3,6,836,213,Player,red,Defense,5.2744452522772765,-18.08628951794067
3,7,1028,397,Player,red,Defense,8.698258994563057,1.2961012061083574
3,8,1203,273,Player,red,Defense,12.702834349514777,-18.89124456957546
4,1,563,445,Player,red,Defense,3.0525142765905646,11.363280082665815
4,2,930,661,Player,red,Defense,7.3754424837841235,18.098481547745585
4,3,611,273,Player,red,Defense,2.0755787031138273,-3.503342465934535
4,4,435,211,Player,red,Defense,-1.4979576212229024,-7.203928627036112
4,5,668,364,Player,red,Defense,3.696160386543678,4.3096004440978115
4,6,836,211,Player,red,Defense,5.261958136954415,-18.45699134664707
4,7,1030,396,Player,red,Defense,8.729905473561223,1.1700676766116158
4,8,1205,274,Player,red,Defense,12.733170205939562,-18.772141267635714
5,1,562,445,Player,red,Defense,3.04188538610259,11.374867342792777
5,2,932,661,Player,red,Defense,7.394008380558898,18.082507235147958
5,3,612,272,Player,red,Defense,2.078120631653121,-3.6392236086737424
5,4,434,209,Player,red,Defense,-1.555666648209748,-7.4472475696351585
5,5,668,363,Player,red,Defense,3.689035058324217,4.2269785628295535
5,6,838,209,Player,red,Defense,5.2888536247696765,-18.8979509401982
5,7,1032,396,Player,red,Defense,8.759313603003312,1.135707313803645
5,8,1210,271,Player,red,Defense,12.888172626847208,-19.489009124695507
5,11,1018,288,Player,red,Defense,8.825325963007794,-11.080051840264765
6,1,562,444,Player,red,Defense,3.0348150995222785,11.315996376237345
6,2,932,660,Player,red,Defense,7.393844901116979,18.044003594995417
6,3,614,270,Player,red,Defense,2.0832432164216,-3.9130561186596533
6,4,434,207,Player,red,Defense,-1.599327399787137,-7.717216290881767
6,5,668,362,Player,red,Defense,3.68188315365506,4.144048513824517
6,6,839,207,Player,red,Defense,5.29618828767904,-19.311131744062926
6,7,1035,396,Player,red,Defense,8.803489217856988,1.0840926690630939
6,8,1212,271,Player,red,Defense,12.933202145174826,-19.554478357534066
6,11,1021,286,Player,red,Defense,8.887644182376688,-11.451766556680624
6,15,194,207,Player,red,Defense,-4.819827942588094,-2.3023622462412545
7,1,562,444,Player,red,Defense,3.0348150995222785,11.315996376237345
7,2,934,658,Player,red,Defense,7.4121665690835705,17.950614964818442
7,3,615,268,Player,red,Defense,2.073741259572955,-4.168212555192177
7,4,434,205,Player,red,Defense,-1.6434100777236917,-7.989793920943022
7,5,668,361,Player,red,Defense,3.674704523568893,4.060808569729302
7,6,840,205,Player,red,Defense,5.303612048315379,-19.729331656632432
7,7,1037,394,Player,red,Defense,8.838080454596835,0.8640569791586103
7,8,1215,269,Player,red,Defense,13.031135736797555,-20.030404007504117
7,11,1022,285,Player,red,Defense,8.909718075614373,-11.626061446710652
7,15,191,203,Player,red,Defense,-4.96742800797572,-2.694896276223834
8,1,562,443,Player,red,Defense,3.0277224716538145,11.256939384234066
8,2,936,655,Player,red,Defense,7.430476405924193,17.817621194707957
8,3,617,267,Player,red,Defense,2.091025399216792,-4.329059902743275
8,4,432,204,Player,red,Defense,-1.6948888436525278,-8.077472748555847
8,5,668,360,Player,red,Defense,3.6674990179829816,3.9772569902566923
8,6,841,204,Player,red,Defense,5.317403152111162,-19.95736071452512
8,7,1038,393,Player,red,Defense,8.855492367422134,0.7532993823751792
8,8,1218,267,Player,red,Defense,13.130400874293414,-20.512800540698542
8,11,1024,283,Player,red,Defense,8.9542419259825,-11.977620617540424
8,15,190,200,Player,red,Defense,-5.06410939659979,-3.020050836861437
9,1,562,442,Player,red,Defense,3.0206073964357985,11.197695483659286
9,2,936,651,Player,red,Defense,7.430000215513971,17.660376652594245
9,3,617,265,Player,red,Defense,2.0667047525339823,-4.5664230926307
9,4,430,201,Player,red,Defense,-1.7917089072770789,-8.442474068568265
9,5,670,359,Player,red,Defense,3.6859319624155695,3.861623439500704
9,6,842,203,Player,red,Defense,5.331284387440738,-20.18688005260427
9,7,1039,392,Player,red,Defense,8.872982506517099,0.6420441864066548
9,8,1220,265,Player,red,Defense,13.207915059640415,-20.96778004495171
9,11,1026,282,Player,red,Defense,8.995614663394957,-12.18180487628637
9,15,187,199,Player,red,Defense,-5.129844783156921,-3.0723378496791134
10,1,562,441,Player,red,Defense,3.0134697671344184,11.138263785790532
10,2,937,646,Player,red,Defense,7.438878584001095,17.45328504123164
10,3,617,263,Player,red,Defense,2.042165383938445,-4.8059209515333245
10,4,430,200,Player,red,Defense,-1.8144572164718962,-8.582000521788391
10,5,670,358,Player,red,Defense,3.6787164536390606,3.7773366489284856
10,6,842,200,Player,red,Defense,5.312403925427685,-20.779996148860853
10,7,1040,390,Player,red,Defense,8.893235984124471,0.4356693555870572
10,8,1225,262,Player,red,Defense,13.372861141404494,-21.730636156954493
10,11,1027,281,Player,red,Defense,9.018257374642644,-12.360241210273646
10,15,185,198,Player,red,Defense,-5.183295766470692,-3.146172578766778
10,19,1190,276,Player,red,Defense,12.375912619393787,-17.934329839466766
10,20,87,277,Player,red,Defense,-4.323181412155564,6.209105304013979
11,1,561,440,Player,red,Defense,2.9956096182737557,11.090386877482867
11,2,938,642,Player,red,Defense,7.447972941966641,17.283964367892697
11,3,618,259,Player,red,Defense,2.0073776965310097,-5.313739585781399
11,4,428,198,Player,red,Defense,-1.8898126210214046,-8.812314612710589
11,5,670,357,Player,red,Defense,3.6714737635604693,3.6927323444030593
11,6,844,198,Player,red,Defense,5.340558079294756,-21.251518196510432
11,7,1042,390,Player,red,Defense,8.923171903688784,0.40037540457011794
11,8,1227,261,Player,red,Defense,13.436462779545554,-22.000162627339225
11,11,1031,273,Player,red,Defense,9.12626540825373,-13.712495270015108
