frame_number,timestamp,corners_found,corners,valid
0,0.0,4,"[(np.int32(451), np.int32(214)), (np.int32(270), np.int32(662)), (np.int32(888), np.int32(217)), (np.int32(1093), np.int32(586))]",True
30,0.9982729015544042,4,"[(np.int32(451), np.int32(214)), (np.int32(270), np.int32(662)), (np.int32(885), np.int32(219)), (np.int32(1094), np.int32(586))]",True
60,1.9965458031088084,4,"[(np.int32(447), np.int32(214)), (np.int32(266), np.int32(662)), (np.int32(883), np.int32(216)), (np.int32(1090), np.int32(586))]",True
90,2.9948187046632126,4,"[(np.int32(441), np.int32(215)), (np.int32(260), np.int32(662)), (np.int32(877), np.int32(214)), (np.int32(1088), np.int32(583))]",True
120,3.9930916062176167,4,"[(np.int32(436), np.int32(209)), (np.int32(253), np.int32(662)), (np.int32(809), np.int32(211)), (np.int32(962), np.int32(582))]",True
150,4.991364507772021,4,"[(np.int32(475), np.int32(194)), (np.int32(283), np.int32(656)), (np.int32(910), np.int32(200)), (np.int32(1118), np.int32(567))]",True
180,5.989637409326425,4,"[(np.int32(426), np.int32(189)), (np.int32(220), np.int32(554)), (np.int32(922), np.int32(192)), (np.int32(1130), np.int32(565))]",True
210,6.987910310880829,4,"[(np.int32(412), np.int32(197)), (np.int32(152), np.int32(662)), (np.int32(912), np.int32(201)), (np.int32(1115), np.int32(572))]",True
240,7.986183212435233,4,"[(np.int32(391), np.int32(201)), (np.int32(140), np.int32(662)), (np.int32(831), np.int32(203)), (np.int32(987), np.int32(571))]",True
270,8.984456113989637,4,"[(np.int32(400), np.int32(207)), (np.int32(148), np.int32(662)), (np.int32(899), np.int32(209)), (np.int32(1109), np.int32(580))]",True
300,9.982729015544042,4,"[(np.int32(398), np.int32(207)), (np.int32(147), np.int32(662)), (np.int32(896), np.int32(210)), (np.int32(1107), np.int32(580))]",True
330,10.981001917098446,4,"[(np.int32(372), np.int32(205)), (np.int32(182), np.int32(556)), (np.int32(786), np.int32(205)), (np.int32(952), np.int32(588))]",True
360,11.97927481865285,4,"[(np.int32(386), np.int32(209)), (np.int32(197), np.int32(559)), (np.int32(802), np.int32(211)), (np.int32(963), np.int32(600))]",True
390,12.977547720207253,4,"[(np.int32(294), np.int32(217)), (np.int32(125), np.int32(534)), (np.int32(726), np.int32(183)), (np.int32(870), np.int32(524))]",True
420,13.975820621761658,4,"[(np.int32(314), np.int32(194)), (np.int32(124), np.int32(534)), (np.int32(642), np.int32(4)), (np.int32(859), np.int32(526))]",True
450,14.974093523316062,4,"[(np.int32(327), np.int32(239)), (np.int32(161), np.int32(539)), (np.int32(809), np.int32(198)), (np.int32(1002), np.int32(534))]",True
480,15.972366424870467,4,"[(np.int32(380), np.int32(208)), (np.int32(196), np.int32(544)), (np.int32(729), np.int32(6)), (np.int32(1028), np.int32(543))]",True
510,16.97063932642487,4,"[(np.int32(403), np.int32(194)), (np.int32(206), np.int32(547)), (np.int32(872), np.int32(178)), (np.int32(1079), np.int32(551))]",True
540,17.968912227979274,4,"[(np.int32(395), np.int32(190)), (np.int32(187), np.int32(558)), (np.int32(801), np.int32(37)), (np.int32(1100), np.int32(563))]",True
