frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,991,616,Player,red,Defense,10.128728572598558,25.091487049674956
3,2,520,585,Player,red,Defense,4.317954604204188,23.54301663436887
3,3,754,297,Player,red,Defense,8.26022340351244,10.500207768826622
3,4,1120,351,Player,red,Defense,14.05924200069731,15.239185737510955
3,5,556,216,Player,red,Defense,4.078888841533916,2.339748784387092
3,6,1087,220,Player,red,Defense,15.586312122437826,6.24679664489065
3,7,844,152,Player,red,Defense,11.463023313059182,-2.611852835475184
3,8,423,147,Player,red,Defense,-0.20290570561579918,-7.771967374297937
3,9,1208,196,Player,red,Defense,18.467211774518457,4.875799478762908
3,10,78,195,Player,red,Defense,-9.813000834109893,-4.514309491029506
3,11,166,360,Player,red,Defense,-3.2235620528369227,12.23011881191513
3,12,169,255,Player,red,Defense,-5.231794523264461,3.532341566749074
4,1,980,597,Player,red,Defense,10.095584873926088,24.54818474941386
4,2,522,589,Player,red,Defense,4.351277679637122,23.672505719006217
4,3,762,293,Player,red,Defense,8.433413863114113,10.25226641857245
4,4,1120,351,Player,red,Defense,14.05924200069731,15.239185737510955
4,5,552,217,Player,red,Defense,3.984883614387519,2.4147134910799433
4,6,1088,220,Player,red,Defense,15.605664930130512,6.252673828054539
4,7,844,152,Player,red,Defense,11.463023313059182,-2.611852835475184
4,8,422,147,Player,red,Defense,-0.2340236388789206,-7.783956978751842
4,9,1208,196,Player,red,Defense,18.467211774518457,4.875799478762908
4,10,78,195,Player,red,Defense,-9.813000834109893,-4.514309491029506
4,11,166,360,Player,red,Defense,-3.2235620528369227,12.23011881191513
4,12,169,256,Player,red,Defense,-5.207492416425731,3.634528971736879
5,1,978,596,Player,red,Defense,10.07693093860784,24.517046120505924
5,2,522,588,Player,red,Defense,4.349659431403232,23.64100575516335
5,3,762,293,Player,red,Defense,8.433413863114113,10.25226641857245
5,4,1120,351,Player,red,Defense,14.05924200069731,15.239185737510955
5,5,552,218,Player,red,Defense,3.9886396891814906,2.519275239966743
5,6,1087,220,Player,red,Defense,15.586312122437826,6.24679664489065
5,7,844,152,Player,red,Defense,11.463023313059182,-2.611852835475184
5,8,423,147,Player,red,Defense,-0.20290570561579918,-7.771967374297937
