frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,991,616,Player,red,Defense,8.440326746536462,24.200982893338793
3,2,520,585,Player,red,Defense,4.264398849077831,23.202073695661525
3,3,754,297,Player,red,Defense,6.658995610943759,9.589003734830975
3,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
3,5,556,216,Player,red,Defense,4.088603951153283,3.8858584635235864
3,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
3,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
3,8,423,147,Player,red,Defense,1.940828854305167,-2.073473636678145
3,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
3,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
3,11,166,360,Player,red,Defense,-0.08788287853832255,13.417680484851406
3,12,169,255,Player,red,Defense,-0.8199661734034946,6.874980530825279
4,1,980,597,Player,red,Defense,8.390651844175874,23.56451980865973
4,2,522,589,Player,red,Defense,4.287168294833885,23.340585066531467
4,3,762,293,Player,red,Defense,6.762666668011065,9.330807646662059
4,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
4,5,552,217,Player,red,Defense,4.036415324744667,3.9652772887514005
4,6,1088,220,Player,red,Defense,11.2883089386658,4.086430996280385
4,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
4,8,422,147,Player,red,Defense,1.9258539077946981,-2.07322354956195
4,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
4,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
4,11,166,360,Player,red,Defense,-0.08788287853832255,13.417680484851406
4,12,169,256,Player,red,Defense,-0.8116897069846899,6.945660989960621
5,1,978,596,Player,red,Defense,8.37526711995026,23.530577279685044
5,2,522,588,Player,red,Defense,4.285994250186091,23.305995304971603
5,3,762,293,Player,red,Defense,6.762666668011065,9.330807646662059
5,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
5,5,552,218,Player,red,Defense,4.038521364738866,4.04363064289477
5,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
5,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
5,8,423,147,Player,red,Defense,1.940828854305167,-2.073473636678145
5,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
5,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
5,11,166,360,Player,red,Defense,-0.08788287853832255,13.417680484851406
5,12,169,255,Player,red,Defense,-0.8199661734034946,6.874980530825279
6,1,977,595,Player,red,Defense,8.368816237916302,23.496463135804024
6,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
6,3,762,293,Player,red,Defense,6.762666668011065,9.330807646662059
6,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
6,5,552,217,Player,red,Defense,4.036415324744667,3.9652772887514005
6,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
6,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
6,8,423,147,Player,red,Defense,1.940828854305167,-2.073473636678145
6,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
6,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
6,11,166,360,Player,red,Defense,-0.08788287853832255,13.417680484851406
6,12,169,255,Player,red,Defense,-0.8199661734034946,6.874980530825279
7,1,976,594,Player,red,Defense,8.362353757391954,23.46228765572621
7,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
7,3,762,294,Player,red,Defense,6.761214027114544,9.395234092784595
7,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
7,5,553,220,Player,red,Defense,4.056217675788354,4.1994885824005
7,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
7,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
7,8,423,147,Player,red,Defense,1.940828854305167,-2.073473636678145
7,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
7,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
7,11,166,360,Player,red,Defense,-0.08788287853832255,13.417680484851406
7,12,169,255,Player,red,Defense,-0.8199661734034946,6.874980530825279
7,0,658,211,Ball,blue,Ball,5.472838096951692,3.4678093840635515
8,1,976,594,Player,red,Defense,8.362353757391954,23.46228765572621
8,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
8,3,762,297,Player,red,Defense,6.756877523158946,9.587563483430703
8,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
8,5,554,221,Player,red,Defense,4.071771485405566,4.2769958210263574
8,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
8,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
8,8,422,147,Player,red,Defense,1.9258539077946981,-2.07322354956195
8,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
8,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
8,11,167,360,Player,red,Defense,-0.07655262739074797,13.41752092575651
8,12,169,256,Player,red,Defense,-0.8116897069846899,6.945660989960621
8,0,678,234,Ball,blue,Ball,5.741400176597735,5.243110240510084
9,1,975,594,Player,red,Defense,8.353384279073849,23.4623985521784
9,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
9,3,764,293,Player,red,Defense,6.787258543505319,9.330444729805558
9,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
9,5,562,221,Player,red,Defense,4.1796388894515735,4.2753109745540225
9,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
9,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
9,8,422,147,Player,red,Defense,1.9258539077946981,-2.07322354956195
9,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
9,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
9,11,167,360,Player,red,Defense,-0.07655262739074797,13.41752092575651
9,12,170,256,Player,red,Defense,-0.7988382507698487,6.94546589823848
10,1,975,593,Player,red,Defense,8.355879647068473,23.428050673881835
10,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
10,3,765,292,Player,red,Defense,6.801056405325094,9.265676444264273
10,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
10,5,566,221,Player,red,Defense,4.233574068345271,4.274468528249714
10,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
10,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
10,8,422,147,Player,red,Defense,1.9258539077946981,-2.07322354956195
10,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
10,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
10,11,168,360,Player,red,Defense,-0.06522233276087105,13.417361366049274
10,12,170,256,Player,red,Defense,-0.7988382507698487,6.94546589823848
11,1,975,592,Player,red,Defense,8.358379517331212,23.39364082342023
11,2,522,587,Player,red,Defense,4.284818079140439,23.271342895372754
11,3,766,291,Player,red,Defense,6.814888484328839,9.20074754047861
11,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
11,5,568,220,Player,red,Defense,4.258745656623902,4.196322509987589
11,6,1087,220,Player,red,Defense,11.274774496837798,4.086642577034405
11,7,844,152,Player,red,Defense,8.232090430557633,-1.7022119832213538
11,8,422,147,Player,red,Defense,1.9258539077946981,-2.07322354956195
11,9,1208,196,Player,red,Defense,13.159871240367996,2.1227665374341114
11,10,78,195,Player,red,Defense,-2.6282119966460606,2.291530899927654
11,11,168,360,Player,red,Defense,-0.06522233276087105,13.417361366049274
11,12,170,256,Player,red,Defense,-0.7988382507698487,6.94546589823848
12,1,976,591,Player,red,Defense,8.369877688512489,23.359057479060542
12,2,522,588,Player,red,Defense,4.285994250186091,23.305995304971603
12,3,767,290,Player,red,Defense,6.8287549079568635,9.13565742023337
12,4,1120,351,Player,red,Defense,10.79448818487182,12.763880415565048
12,5,568,221,Player,red,Defense,4.260542027021589,4.27404729933034
12,6,1086,220,Player,red,Defense,11.26124011693628,4.086854156820345
