frame,ID,X,Y,Class,Color,Position
1,0,656,351,Ball,blue,Ball
2,0,640,384,Ball,blue,Ball
3,1,650,210,Player,red,Defense
3,2,112,363,Player,red,Defense
3,3,888,646,Player,red,Defense
3,4,405,160,Player,red,Defense
3,5,1189,282,Player,red,Defense
3,6,970,164,Player,red,Defense
3,7,52,148,Player,red,Defense
3,8,558,66,Player,red,Defense
3,10,850,67,Player,red,Defense
3,11,22,156,Player,red,Defense
3,13,326,123,Player,red,Defense
3,14,1133,116,Player,red,Defense
3,15,175,123,Player,red,Defense
3,16,225,121,Player,red,Defense
3,63,1182,386,Player,red,Defense
3,69,285,122,Player,red,Defense
4,1,645,210,Player,red,Defense
4,2,112,363,Player,red,Defense
4,3,894,646,Player,red,Defense
4,4,405,160,Player,red,Defense
4,5,1189,281,Player,red,Defense
4,6,970,164,Player,red,Defense
4,7,52,148,Player,red,Defense
4,8,558,66,Player,red,Defense
4,10,850,67,Player,red,Defense
4,11,22,156,Player,red,Defense
4,13,326,123,Player,red,Defense
4,14,1133,116,Player,red,Defense
4,15,174,123,Player,red,Defense
4,16,225,121,Player,red,Defense
4,63,1182,386,Player,red,Defense
4,69,285,122,Player,red,Defense
5,1,640,209,Player,red,Defense
5,2,112,363,Player,red,Defense
5,3,902,646,Player,red,Defense
5,4,405,160,Player,red,Defense
5,5,1189,281,Player,red,Defense
5,6,970,164,Player,red,Defense
5,7,52,148,Player,red,Defense
5,8,558,66,Player,red,Defense
5,10,849,67,Player,red,Defense
5,11,22,156,Player,red,Defense
5,13,326,123,Player,red,Defense
5,14,1133,116,Player,red,Defense
5,15,174,123,Player,red,Defense
5,16,225,121,Player,red,Defense
5,63,1182,386,Player,red,Defense
5,69,285,122,Player,red,Defense
6,1,636,210,Player,red,Defense
6,2,112,363,Player,red,Defense
6,3,908,645,Player,red,Defense
6,4,405,160,Player,red,Defense
6,5,1189,281,Player,red,Defense
6,6,970,164,Player,red,Defense
6,7,52,148,Player,red,Defense
6,8,558,66,Player,red,Defense
6,10,849,67,Player,red,Defense
6,11,22,156,Player,red,Defense
6,13,326,123,Player,red,Defense
6,14,1133,116,Player,red,Defense
6,15,174,123,Player,red,Defense
6,16,225,121,Player,red,Defense
6,63,1182,386,Player,red,Defense
6,69,285,122,Player,red,Defense
7,1,634,210,Player,red,Defense
7,2,112,363,Player,red,Defense
7,3,910,645,Player,red,Defense
7,4,404,160,Player,red,Defense
7,5,1189,282,Player,red,Defense
7,6,970,164,Player,red,Defense
7,7,52,148,Player,red,Defense
7,8,558,66,Player,red,Defense
7,10,849,67,Player,red,Defense
7,11,22,156,Player,red,Defense
7,13,326,123,Player,red,Defense
7,14,1133,116,Player,red,Defense
7,15,174,123,Player,red,Defense
7,16,224,121,Player,red,Defense
7,63,1182,386,Player,red,Defense
7,69,285,122,Player,red,Defense
7,0,938,523,Ball,blue,Ball
8,1,634,211,Player,red,Defense
8,2,112,363,Player,red,Defense
8,3,910,645,Player,red,Defense
8,4,405,160,Player,red,Defense
8,5,1189,281,Player,red,Defense
8,6,970,164,Player,red,Defense
8,7,52,148,Player,red,Defense
8,8,558,66,Player,red,Defense
8,10,849,67,Player,red,Defense
8,11,22,156,Player,red,Defense
8,13,326,123,Player,red,Defense
8,14,1133,116,Player,red,Defense
8,15,174,123,Player,red,Defense
8,16,225,121,Player,red,Defense
8,63,1182,386,Player,red,Defense
8,69,285,122,Player,red,Defense
8,0,949,526,Ball,blue,Ball
9,1,633,211,Player,red,Defense
9,2,112,363,Player,red,Defense
9,3,914,645,Player,red,Defense
9,4,405,160,Player,red,Defense
9,5,1189,281,Player,red,Defense
9,6,970,164,Player,red,Defense
9,7,52,148,Player,red,Defense
9,8,558,66,Player,red,Defense
