frame,ID,X,Y,Class,Color,Position,X_court,Y_court
1,0,656,351,Ball,blue,Ball,7.72417943583781,16.42472553113059
2,0,640,384,Ball,blue,Ball,7.540429550763105,17.558470474158558
3,1,650,210,Player,red,Defense,7.602830921865105,8.930640592889825
3,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
3,3,888,646,Player,red,Defense,9.33662163295348,24.18629548029818
3,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
3,5,1189,282,Player,red,Defense,11.956893286327874,17.676846545713815
3,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
3,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
3,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
3,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
3,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
3,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
3,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
3,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
3,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
3,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
3,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
4,1,645,210,Player,red,Defense,7.520751888621184,8.811794447746399
4,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
4,3,894,646,Player,red,Defense,9.37100496411762,24.18408587577471
4,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
4,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
4,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
4,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
4,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
4,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
4,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
4,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
4,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
4,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
4,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
4,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
4,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
5,1,640,209,Player,red,Defense,7.436509700775905,8.619927332073624
5,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
5,3,902,646,Player,red,Defense,9.41641537458804,24.18116762890942
5,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
5,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
5,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
5,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
5,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
5,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
5,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
5,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
5,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
5,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
5,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
5,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
5,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
6,1,636,210,Player,red,Defense,7.36961902717664,8.59296197278532
6,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
6,3,908,645,Player,red,Defense,9.451686473587255,24.164073506209153
6,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
6,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
6,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
6,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
6,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
6,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
6,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
6,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
6,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
6,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
6,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
6,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
6,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
7,1,634,210,Player,red,Defense,7.335426358788145,8.54345277817696
7,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
7,3,910,645,Player,red,Defense,9.462879862495429,24.1633741409248
7,4,404,160,Player,red,Defense,-0.5343495179033038,-9.78182711674941
7,5,1189,282,Player,red,Defense,11.956893286327874,17.676846545713815
7,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
7,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
7,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
7,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
7,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
7,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
7,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
7,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
7,16,224,121,Player,red,Defense,-50.44162306670386,-125.92065924706914
7,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
7,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
7,0,938,523,Ball,blue,Ball,9.843842932247826,22.141878633235965
8,1,634,211,Player,red,Defense,7.336488353674658,8.61525035172562
8,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
8,3,910,645,Player,red,Defense,9.462879862495429,24.1633741409248
8,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
8,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
8,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
8,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
8,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
8,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
8,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
8,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
8,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
8,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
8,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
8,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
8,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
8,0,949,526,Ball,blue,Ball,9.901694112231818,22.209092170664587
9,1,633,211,Player,red,Defense,7.319348310027536,8.590547944795519
9,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
9,3,914,645,Player,red,Defense,9.485176453759022,24.161981045230796
9,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
9,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
9,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
9,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
9,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
9,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
9,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
9,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
9,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
9,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
9,16,225,121,Player,red,Defense,-49.54424610954248,-123.95286157335501
9,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
9,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
9,0,959,531,Ball,blue,Ball,9.94827373797325,22.30981699526248
10,1,632,210,Player,red,Defense,7.301008009910845,8.493616810030106
10,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
10,3,916,646,Player,red,Defense,9.494712395953792,24.176135962496474
10,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
10,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
10,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
10,7,52,148,Player,red,Defense,109.732932049295,201.29952771941944
10,8,558,66,Player,red,Defense,4.67508650259614,-13.825650978699471
10,10,849,67,Player,red,Defense,10.773084217095334,3.729932692230828
10,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
10,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
10,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
10,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
10,16,224,121,Player,red,Defense,-50.44162306670386,-125.92065924706914
10,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
10,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
10,0,970,537,Ball,blue,Ball,9.99712071489405,22.426595970425005
11,1,862,210,Player,red,Defense,10.179681024192782,12.661784700837357
11,2,112,363,Player,red,Defense,-10.629054365316488,4.549522373416079
11,3,626,579,Player,red,Defense,7.475393604421812,22.9784606631107
11,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
11,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
11,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
11,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
11,8,557,65,Player,red,Defense,4.622410165020509,-14.16488070633907
11,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
11,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
11,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
11,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
11,15,174,123,Player,red,Defense,-167.44384559333145,-378.66468517211035
11,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
11,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
11,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
11,93,482,66,Player,red,Defense,0.8038387533663335,-24.90738145841088
12,1,872,208,Player,red,Defense,10.277420020261312,12.701754312264823
12,2,114,362,Player,red,Defense,-10.524051891176088,4.512341875029403
12,3,643,539,Player,red,Defense,7.621658436391746,22.100815389901623
12,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
12,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
12,6,969,164,Player,red,Defense,11.274345999414301,12.007199519261144
12,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
12,8,558,65,Player,red,Defense,4.662044186258196,-14.050857130368987
12,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
12,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
12,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
12,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
12,14,1133,116,Player,red,Defense,12.599430279178371,12.046238792230133
12,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
12,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
12,63,1182,387,Player,red,Defense,11.497487412359087,19.980517045132896
12,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
13,1,872,207,Player,red,Defense,10.281481957814142,12.656609997704043
13,2,113,362,Player,red,Defense,-10.619250627437529,4.447957077932258
13,3,645,536,Player,red,Defense,7.639917748233105,22.033549786217197
13,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
13,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
13,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
13,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
13,8,558,65,Player,red,Defense,4.662044186258196,-14.050857130368987
13,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
13,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
13,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
13,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
13,14,1133,115,Player,red,Defense,12.606224868731026,12.006357472992708
13,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
13,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
13,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
13,69,284,122,Player,red,Defense,-19.8459876610874,-58.44040158618542
14,1,871,208,Player,red,Defense,10.26853049478165,12.68876217619872
14,2,111,362,Player,red,Defense,-10.811583322416546,4.317878654334684
14,3,647,534,Player,red,Defense,7.658438491681658,21.989588716608708
14,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
14,5,1189,281,Player,red,Defense,11.961445629675554,17.652164076367548
14,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
14,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
14,8,558,65,Player,red,Defense,4.662044186258196,-14.050857130368987
14,10,850,67,Player,red,Defense,10.784246723290842,3.761727141234814
14,11,22,156,Player,red,Defense,88.97476661362342,156.16563229638274
14,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
14,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
14,14,1133,115,Player,red,Defense,12.606224868731026,12.006357472992708
14,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
14,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
14,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
14,69,285,122,Player,red,Defense,-19.572233167710575,-57.842936161690034
14,0,719,307,Ball,blue,Ball,8.48310733850367,15.22661881371064
15,1,868,208,Player,red,Defense,10.241734814971291,12.649600005070864
15,2,129,361,Player,red,Defense,-9.244284786431692,5.274618152381092
15,3,658,514,Player,red,Defense,7.760271729859725,21.5285480713683
15,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
15,5,1189,282,Player,red,Defense,11.956893286327874,17.676846545713815
15,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
15,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
15,8,557,65,Player,red,Defense,4.622410165020509,-14.16488070633907
15,10,851,66,Player,red,Defense,10.801980446604437,3.7130320928719978
15,11,21,156,Player,red,Defense,88.08029106837442,154.50102270089957
15,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
15,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
15,14,1132,115,Player,red,Defense,12.600932441386249,11.994417221438395
15,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
15,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
15,63,1182,387,Player,red,Defense,11.497487412359087,19.980517045132896
15,69,286,122,Player,red,Defense,-19.302434983753642,-57.254105328202925
16,1,868,207,Player,red,Defense,10.24575726981004,12.604154131185837
16,2,138,360,Player,red,Defense,-8.556991155460912,5.641118241379897
16,3,660,512,Player,red,Defense,7.779186687923027,21.483491779554317
16,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
16,5,1189,283,Player,red,Defense,11.952350900644376,17.701475025340464
16,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
16,7,51,148,Player,red,Defense,108.21705099208918,198.3712993572473
16,8,557,65,Player,red,Defense,4.622410165020509,-14.16488070633907
16,10,852,66,Player,red,Defense,10.813085868353255,3.744822176756037
16,11,21,156,Player,red,Defense,88.08029106837442,154.50102270089957
16,12,1269,147,Player,red,Defense,13.029359984883696,14.454374800617865
16,13,326,123,Player,red,Defense,-10.84634913451628,-38.504371365590565
16,15,175,123,Player,red,Defense,-161.00654779607896,-364.681618467367
16,16,226,121,Player,red,Defense,-48.67017569078077,-122.03617124274706
16,63,1182,386,Player,red,Defense,11.501136494170208,19.960547068993698
16,69,287,122,Player,red,Defense,-19.03650795942925,-56.673723247481924
17,1,868,207,Player,red,Defense,10.24575726981004,12.604154131185837
17,2,142,360,Player,red,Defense,-8.231418806006495,5.863802690757457
17,3,662,510,Player,red,Defense,7.798129178360587,21.43836990437059
17,4,405,160,Player,red,Defense,-0.4753044413301234,-9.673971399597441
17,5,1189,282,Player,red,Defense,11.956893286327874,17.676846545713815
17,6,970,164,Player,red,Defense,11.281717783201142,12.020417184431578
17,7,51,147,Player,red,Defense,105.9800950020471,194.84754811398292
17,8,557,66,Player,red,Defense,4.635656805835124,-13.93852137623196
17,10,852,66,Player,red,Defense,10.813085868353255,3.744822176756037
