frame,ID,X,Y,Class,Color,Position
3,1,991,616,Player,red,Defense
3,2,520,585,Player,red,Defense
3,3,754,297,Player,red,Defense
3,4,1120,351,Player,red,Defense
3,5,556,216,Player,red,Defense
3,6,1087,220,Player,red,Defense
3,7,844,152,Player,red,Defense
3,8,423,147,Player,red,Defense
3,9,1208,196,Player,red,Defense
3,10,78,195,Player,red,Defense
3,11,166,360,Player,red,Defense
3,12,169,255,Player,red,Defense
4,1,980,597,Player,red,Defense
4,2,522,589,Player,red,Defense
4,3,762,293,Player,red,Defense
4,4,1120,351,Player,red,Defense
4,5,552,217,Player,red,Defense
4,6,1088,220,Player,red,Defense
4,7,844,152,Player,red,Defense
4,8,422,147,Player,red,Defense
4,9,1208,196,Player,red,Defense
4,10,78,195,Player,red,Defense
4,11,166,360,Player,red,Defense
4,12,169,256,Player,red,Defense
5,1,978,596,Player,red,Defense
5,2,522,588,Player,red,Defense
5,3,762,293,Player,red,Defense
5,4,1120,351,Player,red,Defense
5,5,552,218,Player,red,Defense
5,6,1087,220,Player,red,Defense
5,7,844,152,Player,red,Defense
5,8,423,147,Player,red,Defense
5,9,1208,196,Player,red,Defense
5,10,78,195,Player,red,Defense
5,11,166,360,Player,red,Defense
5,12,169,255,Player,red,Defense
6,1,977,595,Player,red,Defense
6,2,522,587,Player,red,Defense
6,3,762,293,Player,red,Defense
6,4,1120,351,Player,red,Defense
6,5,552,217,Player,red,Defense
6,6,1087,220,Player,red,Defense
6,7,844,152,Player,red,Defense
6,8,423,147,Player,red,Defense
6,9,1208,196,Player,red,Defense
6,10,78,195,Player,red,Defense
6,11,166,360,Player,red,Defense
6,12,169,255,Player,red,Defense
7,1,976,594,Player,red,Defense
7,2,522,587,Player,red,Defense
7,3,762,294,Player,red,Defense
7,4,1120,351,Player,red,Defense
7,5,553,220,Player,red,Defense
7,6,1087,220,Player,red,Defense
7,7,844,152,Player,red,Defense
7,8,423,147,Player,red,Defense
7,9,1208,196,Player,red,Defense
7,10,78,195,Player,red,Defense
7,11,166,360,Player,red,Defense
7,12,169,255,Player,red,Defense
7,0,658,211,Ball,blue,Ball
8,1,976,594,Player,red,Defense
8,2,522,587,Player,red,Defense
8,3,762,297,Player,red,Defense
8,4,1120,351,Player,red,Defense
8,5,554,221,Player,red,Defense
8,6,1087,220,Player,red,Defense
8,7,844,152,Player,red,Defense
8,8,422,147,Player,red,Defense
8,9,1208,196,Player,red,Defense
8,10,78,195,Player,red,Defense
8,11,167,360,Player,red,Defense
8,12,169,256,Player,red,Defense
8,0,678,234,Ball,blue,Ball
9,1,975,594,Player,red,Defense
9,2,522,587,Player,red,Defense
9,3,764,293,Player,red,Defense
9,4,1120,351,Player,red,Defense
9,5,562,221,Player,red,Defense
9,6,1087,220,Player,red,Defense
9,7,844,152,Player,red,Defense
9,8,422,147,Player,red,Defense
9,9,1208,196,Player,red,Defense
9,10,78,195,Player,red,Defense
9,11,167,360,Player,red,Defense
9,12,170,256,Player,red,Defense
10,1,975,593,Player,red,Defense
10,2,522,587,Player,red,Defense
10,3,765,292,Player,red,Defense
10,4,1120,351,Player,red,Defense
10,5,566,221,Player,red,Defense
10,6,1087,220,Player,red,Defense
10,7,844,152,Player,red,Defense
10,8,422,147,Player,red,Defense
10,9,1208,196,Player,red,Defense
10,10,78,195,Player,red,Defense
10,11,168,360,Player,red,Defense
10,12,170,256,Player,red,Defense
11,1,975,592,Player,red,Defense
11,2,522,587,Player,red,Defense
11,3,766,291,Player,red,Defense
11,4,1120,351,Player,red,Defense
11,5,568,220,Player,red,Defense
11,6,1087,220,Player,red,Defense
11,7,844,152,Player,red,Defense
11,8,422,147,Player,red,Defense
11,9,1208,196,Player,red,Defense
11,10,78,195,Player,red,Defense
11,11,168,360,Player,red,Defense
11,12,170,256,Player,red,Defense
12,1,976,591,Player,red,Defense
