frame,ID,X,Y,Class,Color,Position
1,0,1264,382,Ball,blue,Ball
2,0,1264,382,Ball,blue,Ball
3,1,478,636,Player,red,Defense
3,2,118,340,Player,red,Defense
3,3,709,215,Player,red,Defense
3,4,376,152,Player,red,Defense
3,5,919,152,Player,red,Defense
3,6,1126,253,Player,red,Defense
3,7,466,62,Player,red,Defense
3,8,1014,114,Player,red,Defense
3,9,56,139,Player,red,Defense
3,10,534,61,Player,red,Defense
3,11,1114,363,Player,red,Defense
3,12,989,117,Player,red,Defense
3,0,1261,382,Ball,blue,Ball
3,55,198,116,Player,red,Defense
4,1,496,638,Player,red,Defense
4,2,118,340,Player,red,Defense
4,3,708,215,Player,red,Defense
4,4,376,152,Player,red,Defense
4,5,919,153,Player,red,Defense
4,6,1125,252,Player,red,Defense
4,7,467,62,Player,red,Defense
4,8,1014,114,Player,red,Defense
4,9,56,139,Player,red,Defense
4,10,534,61,Player,red,Defense
4,11,1114,363,Player,red,Defense
4,12,989,117,Player,red,Defense
4,0,1261,382,Ball,blue,Ball
4,55,198,116,Player,red,Defense
5,1,513,640,Player,red,Defense
5,2,118,340,Player,red,Defense
5,3,709,215,Player,red,Defense
5,4,376,152,Player,red,Defense
5,5,919,153,Player,red,Defense
5,6,1125,252,Player,red,Defense
5,7,466,62,Player,red,Defense
5,8,1014,114,Player,red,Defense
5,9,56,140,Player,red,Defense
5,10,534,61,Player,red,Defense
5,11,1114,363,Player,red,Defense
5,12,989,117,Player,red,Defense
5,0,1260,382,Ball,blue,Ball
5,55,198,116,Player,red,Defense
6,1,530,639,Player,red,Defense
6,2,118,340,Player,red,Defense
6,3,710,215,Player,red,Defense
6,4,375,152,Player,red,Defense
6,5,919,152,Player,red,Defense
6,6,1125,252,Player,red,Defense
6,7,466,62,Player,red,Defense
6,8,1014,114,Player,red,Defense
6,9,56,139,Player,red,Defense
6,10,534,61,Player,red,Defense
6,11,1114,363,Player,red,Defense
6,12,989,117,Player,red,Defense
6,0,1260,382,Ball,blue,Ball
6,55,198,116,Player,red,Defense
7,1,543,644,Player,red,Defense
7,2,118,340,Player,red,Defense
7,3,710,215,Player,red,Defense
7,4,375,152,Player,red,Defense
7,5,918,152,Player,red,Defense
7,6,1125,253,Player,red,Defense
7,7,467,62,Player,red,Defense
7,8,1014,114,Player,red,Defense
7,9,56,139,Player,red,Defense
7,10,534,61,Player,red,Defense
7,11,1114,363,Player,red,Defense
7,12,989,117,Player,red,Defense
7,0,1261,382,Ball,blue,Ball
7,55,198,116,Player,red,Defense
