frame,ID,X,Y,Class,Color,Position,X_court,Y_court
1,0,1264,382,Ball,blue,Ball,13.816198429647597,18.290334006102647
2,0,1264,382,Ball,blue,Ball,13.816198429647597,18.290334006102647
3,1,478,636,Player,red,Defense,3.6455549639796825,24.97005667813021
3,2,118,340,Player,red,Defense,-4.5910121467025204,13.638991178092459
3,3,709,215,Player,red,Defense,6.846639396843044,7.582296902283978
3,4,376,152,Player,red,Defense,-1.9508054708992335,-1.7328167359542979
3,5,919,152,Player,red,Defense,11.669262812401206,3.452748184596411
3,6,1126,253,Player,red,Defense,13.725929735861191,12.072238633257319
3,7,466,62,Player,red,Defense,-0.9249352748991913,-16.05436028784239
3,8,1014,114,Player,red,Defense,14.316224578745533,0.34148327725523275
3,9,56,139,Player,red,Defense,-14.349601221641647,-8.445498677481233
3,10,534,61,Player,red,Defense,1.6537975861894945,-14.742567803582022
3,11,1114,363,Player,red,Defense,12.196402920955725,17.31769387161022
3,12,989,117,Player,red,Defense,13.733258680392007,0.4385071207352641
3,0,1261,382,Ball,blue,Ball,13.781144479153154,18.285796612463187
3,55,198,116,Player,red,Defense,-9.68852565426387,-10.2421831860133
4,1,496,638,Player,red,Defense,3.855829286906219,25.015894337441846
4,2,118,340,Player,red,Defense,-4.5910121467025204,13.638991178092459
4,3,708,215,Player,red,Defense,6.826226833068695,7.576465474738465
4,4,376,152,Player,red,Defense,-1.9508054708992335,-1.7328167359542979
4,5,919,153,Player,red,Defense,11.654467848461714,3.5489573740698863
4,6,1125,252,Player,red,Defense,13.726078022947656,12.01100644860833
4,7,467,62,Player,red,Defense,-0.8853689335750154,-16.031043390710867
4,8,1014,114,Player,red,Defense,14.316224578745533,0.34148327725523275
4,9,56,139,Player,red,Defense,-14.349601221641647,-8.445498677481233
4,10,534,61,Player,red,Defense,1.6537975861894945,-14.742567803582022
4,11,1114,363,Player,red,Defense,12.196402920955725,17.31769387161022
4,12,989,117,Player,red,Defense,13.733258680392007,0.4385071207352641
4,0,1261,382,Ball,blue,Ball,13.781144479153154,18.285796612463187
4,55,198,116,Player,red,Defense,-9.68852565426387,-10.2421831860133
5,1,513,640,Player,red,Defense,4.052499884504366,25.06115258478614
5,2,118,340,Player,red,Defense,-4.5910121467025204,13.638991178092459
5,3,709,215,Player,red,Defense,6.846639396843044,7.582296902283978
5,4,376,152,Player,red,Defense,-1.9508054708992335,-1.7328167359542979
5,5,919,153,Player,red,Defense,11.654467848461714,3.5489573740698863
5,6,1125,252,Player,red,Defense,13.726078022947656,12.01100644860833
5,7,466,62,Player,red,Defense,-0.9249352748991913,-16.05436028784239
5,8,1014,114,Player,red,Defense,14.316224578745533,0.34148327725523275
5,9,56,140,Player,red,Defense,-14.278081243976553,-8.25840883802947
5,10,534,61,Player,red,Defense,1.6537975861894945,-14.742567803582022
5,11,1114,363,Player,red,Defense,12.196402920955725,17.31769387161022
5,12,989,117,Player,red,Defense,13.733258680392007,0.4385071207352641
5,0,1260,382,Ball,blue,Ball,13.769450038532458,18.284282880637214
5,55,198,116,Player,red,Defense,-9.68852565426387,-10.2421831860133
6,1,530,639,Player,red,Defense,4.24261649607684,25.040662492302214
6,2,118,340,Player,red,Defense,-4.5910121467025204,13.638991178092459
6,3,710,215,Player,red,Defense,6.8670386914926596,7.588124539127824
6,4,375,152,Player,red,Defense,-1.9817982057286265,-1.7446165915189185
6,5,919,152,Player,red,Defense,11.669262812401206,3.452748184596411
6,6,1125,252,Player,red,Defense,13.726078022947656,12.01100644860833
6,7,466,62,Player,red,Defense,-0.9249352748991913,-16.05436028784239
6,8,1014,114,Player,red,Defense,14.316224578745533,0.34148327725523275
6,9,56,139,Player,red,Defense,-14.349601221641647,-8.445498677481233
6,10,534,61,Player,red,Defense,1.6537975861894945,-14.742567803582022
6,11,1114,363,Player,red,Defense,12.196402920955725,17.31769387161022
6,12,989,117,Player,red,Defense,13.733258680392007,0.4385071207352641
6,0,1260,382,Ball,blue,Ball,13.769450038532458,18.284282880637214
6,55,198,116,Player,red,Defense,-9.68852565426387,-10.2421831860133
7,1,543,644,Player,red,Defense,4.395142436171864,25.149997619696897
7,2,118,340,Player,red,Defense,-4.5910121467025204,13.638991178092459
7,3,710,215,Player,red,Defense,6.8670386914926596,7.588124539127824
7,4,375,152,Player,red,Defense,-1.9817982057286265,-1.7446165915189185
7,5,918,152,Player,red,Defense,11.648946760326895,3.445013259574796
7,6,1125,253,Player,red,Defense,13.71103841540145,12.068657261346702
7,7,467,62,Player,red,Defense,-0.8853689335750154,-16.031043390710867
7,8,1014,114,Player,red,Defense,14.316224578745533,0.34148327725523275
7,9,56,139,Player,red,Defense,-14.349601221641647,-8.445498677481233
7,10,534,61,Player,red,Defense,1.6537975861894945,-14.742567803582022
7,11,1114,363,Player,red,Defense,12.196402920955725,17.31769387161022
7,12,989,117,Player,red,Defense,13.733258680392007,0.4385071207352641
7,0,1261,382,Ball,blue,Ball,13.781144479153154,18.285796612463187
7,55,198,116,Player,red,Defense,-9.68852565426387,-10.2421831860133
