frame,ID,X,Y,Class,Color,Position,X_court,Y_court
3,1,477,636,Player,red,Defense,1.571475422335453,24.63035262722509
3,2,118,340,Player,red,Defense,-0.7330657833151113,20.39982796656124
3,3,709,215,Player,red,Defense,3.7320774842471423,10.64910254455194
3,4,375,152,Player,red,Defense,-0.21347450897508533,13.655932167174178
3,5,919,152,Player,red,Defense,13.790514950463962,-14.243855160975517
3,6,1126,254,Player,red,Defense,34.87259527369116,-24.12269424405377
3,7,467,62,Player,red,Defense,0.06543611436047357,6.801638412708697
3,8,535,61,Player,red,Defense,0.8399965431648192,4.243644750790425
3,9,1013,114,Player,red,Defense,55.67948346093701,-123.32003686280893
3,10,56,140,Player,red,Defense,-1.8058364299282044,16.39769670733046
3,11,1114,363,Player,red,Defense,16.560111824671154,9.71714290944421
3,12,989,117,Player,red,Defense,35.73048747593971,-73.69452895821804
3,14,198,116,Player,red,Defense,-1.390171060342752,14.453386829877159
3,0,1261,382,Ball,blue,Ball,36.34571559664045,0.1289521688002529
4,1,496,638,Player,red,Defense,1.6794127493698536,24.670319850053467
4,2,118,340,Player,red,Defense,-0.7330657833151113,20.39982796656124
4,3,709,215,Player,red,Defense,3.7320774842471423,10.64910254455194
4,4,376,152,Player,red,Defense,-0.2066074310118337,13.642251064707239
4,5,919,152,Player,red,Defense,13.790514950463962,-14.243855160975517
4,6,1126,254,Player,red,Defense,34.87259527369116,-24.12269424405377
4,7,467,62,Player,red,Defense,0.06543611436047357,6.801638412708697
4,8,535,61,Player,red,Defense,0.8399965431648192,4.243644750790425
4,9,1014,114,Player,red,Defense,56.79541532365783,-126.0121710942679
4,10,56,140,Player,red,Defense,-1.8058364299282044,16.39769670733046
4,11,1113,363,Player,red,Defense,16.479015372221355,9.769343473189547
4,12,989,117,Player,red,Defense,35.73048747593971,-73.69452895821804
4,14,198,116,Player,red,Defense,-1.390171060342752,14.453386829877159
4,0,1261,382,Ball,blue,Ball,36.34571559664045,0.1289521688002529
5,1,512,640,Player,red,Defense,1.77283770031342,24.709097216222172
5,2,118,340,Player,red,Defense,-0.7330657833151113,20.39982796656124
5,3,709,215,Player,red,Defense,3.7320774842471423,10.64910254455194
5,4,376,152,Player,red,Defense,-0.2066074310118337,13.642251064707239
5,5,918,152,Player,red,Defense,13.694369896853143,-14.052307848249766
5,6,1126,254,Player,red,Defense,34.87259527369116,-24.12269424405377
5,7,467,62,Player,red,Defense,0.06543611436047357,6.801638412708697
5,8,535,61,Player,red,Defense,0.8399965431648192,4.243644750790425
5,9,1014,114,Player,red,Defense,56.79541532365783,-126.0121710942679
5,10,56,140,Player,red,Defense,-1.8058364299282044,16.39769670733046
5,11,1113,363,Player,red,Defense,16.479015372221355,9.769343473189547
5,12,989,117,Player,red,Defense,35.73048747593971,-73.69452895821804
5,14,197,116,Player,red,Defense,-1.3946424177725336,14.464064515019054
5,0,1260,382,Ball,blue,Ball,36.06144294611406,0.2904488199438665
6,1,530,639,Player,red,Defense,1.8780104458033342,24.709140968188763
6,2,118,340,Player,red,Defense,-0.7330657833151113,20.39982796656124
6,3,710,215,Player,red,Defense,3.7506609054299322,10.6220671534451
6,4,376,152,Player,red,Defense,-0.2066074310118337,13.642251064707239
6,5,918,152,Player,red,Defense,13.694369896853143,-14.052307848249766
6,6,1126,254,Player,red,Defense,34.87259527369116,-24.12269424405377
6,7,467,62,Player,red,Defense,0.06543611436047357,6.801638412708697
6,8,535,61,Player,red,Defense,0.8399965431648192,4.243644750790425
6,9,1014,114,Player,red,Defense,56.79541532365783,-126.0121710942679
6,10,56,140,Player,red,Defense,-1.8058364299282044,16.39769670733046
