frame,ID,X,Y,Class,Color,Position
3,1,698,568,Player,red,Defense
3,2,368,122,Player,red,Defense
3,3,914,123,Player,red,Defense
3,4,466,149,Player,red,Defense
3,5,1090,328,Player,red,Defense
3,6,1085,217,Player,red,Defense
3,7,208,254,Player,red,Defense
3,8,27,255,Player,red,Defense
3,9,1154,178,Player,red,Defense
3,10,1224,226,Player,red,Defense
3,11,507,125,Player,red,Defense
4,1,698,567,Player,red,Defense
4,2,368,122,Player,red,Defense
4,3,914,123,Player,red,Defense
4,4,466,149,Player,red,Defense
4,5,1090,328,Player,red,Defense
4,6,1085,217,Player,red,Defense
4,7,208,254,Player,red,Defense
4,8,27,255,Player,red,Defense
4,9,1154,178,Player,red,Defense
4,10,1224,226,Player,red,Defense
4,11,507,125,Player,red,Defense
5,1,698,567,Player,red,Defense
5,2,368,122,Player,red,Defense
5,3,914,123,Player,red,Defense
5,4,466,149,Player,red,Defense
5,5,1090,328,Player,red,Defense
5,6,1085,217,Player,red,Defense
5,7,208,254,Player,red,Defense
5,8,27,255,Player,red,Defense
5,9,1154,178,Player,red,Defense
5,10,1224,226,Player,red,Defense
5,11,506,125,Player,red,Defense
6,1,698,566,Player,red,Defense
6,2,368,122,Player,red,Defense
6,3,914,123,Player,red,Defense
6,4,466,149,Player,red,Defense
6,5,1090,328,Player,red,Defense
6,6,1085,217,Player,red,Defense
6,7,208,254,Player,red,Defense
6,8,27,255,Player,red,Defense
6,9,1154,178,Player,red,Defense
6,10,1224,226,Player,red,Defense
6,11,506,125,Player,red,Defense
7,1,698,566,Player,red,Defense
7,2,368,122,Player,red,Defense
7,3,914,123,Player,red,Defense
7,4,466,149,Player,red,Defense
7,5,1090,328,Player,red,Defense
7,6,1085,217,Player,red,Defense
7,7,208,254,Player,red,Defense
7,9,1154,178,Player,red,Defense
7,10,1224,226,Player,red,Defense
7,11,506,125,Player,red,Defense
8,1,699,567,Player,red,Defense
8,2,368,122,Player,red,Defense
8,3,914,123,Player,red,Defense
8,4,466,149,Player,red,Defense
8,5,1090,328,Player,red,Defense
8,6,1085,217,Player,red,Defense
8,7,208,254,Player,red,Defense
8,9,1154,178,Player,red,Defense
8,10,1224,226,Player,red,Defense
8,11,506,125,Player,red,Defense
9,1,700,566,Player,red,Defense
9,2,368,122,Player,red,Defense
9,3,914,123,Player,red,Defense
9,4,466,149,Player,red,Defense
9,5,1090,328,Player,red,Defense
9,6,1085,217,Player,red,Defense
9,7,208,254,Player,red,Defense
9,9,1154,178,Player,red,Defense
9,10,1224,226,Player,red,Defense
9,11,506,125,Player,red,Defense
10,1,700,567,Player,red,Defense
10,2,368,122,Player,red,Defense
10,3,914,123,Player,red,Defense
10,4,466,149,Player,red,Defense
10,5,1090,328,Player,red,Defense
10,6,1085,217,Player,red,Defense
10,7,208,254,Player,red,Defense
10,9,1154,178,Player,red,Defense
10,10,1224,226,Player,red,Defense
10,11,506,125,Player,red,Defense
11,1,704,568,Player,red,Defense
11,2,368,122,Player,red,Defense
11,3,914,123,Player,red,Defense
11,4,466,149,Player,red,Defense
11,5,1090,328,Player,red,Defense
11,6,1085,217,Player,red,Defense
11,7,208,254,Player,red,Defense
11,8,27,255,Player,red,Defense
11,9,1154,178,Player,red,Defense
11,10,1224,226,Player,red,Defense
11,11,506,125,Player,red,Defense
12,1,706,568,Player,red,Defense
12,2,368,122,Player,red,Defense
12,3,914,123,Player,red,Defense
12,4,466,149,Player,red,Defense
12,5,1090,328,Player,red,Defense
12,6,1085,217,Player,red,Defense
12,7,208,254,Player,red,Defense
12,8,27,255,Player,red,Defense
12,9,1154,178,Player,red,Defense
12,10,1224,226,Player,red,Defense
12,11,506,125,Player,red,Defense
13,1,706,568,Player,red,Defense
13,2,368,122,Player,red,Defense
13,3,914,123,Player,red,Defense
13,4,466,149,Player,red,Defense
13,5,1090,328,Player,red,Defense
13,6,1085,217,Player,red,Defense
13,7,208,254,Player,red,Defense
13,8,27,254,Player,red,Defense
13,9,1154,178,Player,red,Defense
13,10,1224,226,Player,red,Defense
13,11,506,125,Player,red,Defense
14,1,708,568,Player,red,Defense
14,2,368,122,Player,red,Defense
14,3,914,123,Player,red,Defense
14,4,466,149,Player,red,Defense
14,5,1090,328,Player,red,Defense
14,6,1085,217,Player,red,Defense
14,7,208,254,Player,red,Defense
14,8,27,255,Player,red,Defense
14,9,1154,178,Player,red,Defense
14,10,1224,226,Player,red,Defense
14,11,506,125,Player,red,Defense
15,1,709,568,Player,red,Defense
15,2,368,122,Player,red,Defense
15,3,914,123,Player,red,Defense
15,4,466,149,Player,red,Defense
15,5,1090,328,Player,red,Defense
15,6,1085,217,Player,red,Defense
15,7,208,254,Player,red,Defense
15,8,27,255,Player,red,Defense
15,9,1154,178,Player,red,Defense
15,10,1224,226,Player,red,Defense
15,11,506,125,Player,red,Defense
16,1,708,568,Player,red,Defense
16,2,368,122,Player,red,Defense
16,3,914,123,Player,red,Defense
16,4,466,148,Player,red,Defense
16,5,1090,328,Player,red,Defense
16,6,1085,217,Player,red,Defense
16,7,208,254,Player,red,Defense
16,8,27,255,Player,red,Defense
16,9,1154,178,Player,red,Defense
16,10,1224,226,Player,red,Defense
16,11,506,125,Player,red,Defense
17,1,708,568,Player,red,Defense
17,2,368,122,Player,red,Defense
17,3,914,123,Player,red,Defense
17,4,466,148,Player,red,Defense
17,5,1090,328,Player,red,Defense
17,6,1085,217,Player,red,Defense
17,7,208,254,Player,red,Defense
17,8,27,255,Player,red,Defense
17,9,1154,178,Player,red,Defense
17,10,1224,226,Player,red,Defense
17,11,506,125,Player,red,Defense
18,1,692,557,Player,red,Defense
18,2,368,122,Player,red,Defense
18,3,914,123,Player,red,Defense
18,4,468,150,Player,red,Defense
18,5,1090,328,Player,red,Defense
18,6,1085,216,Player,red,Defense
18,7,210,254,Player,red,Defense
18,8,27,255,Player,red,Defense
18,9,1154,178,Player,red,Defense
18,10,1223,226,Player,red,Defense
18,11,507,125,Player,red,Defense
18,0,678,265,Ball,blue,Ball
18,21,640,125,Player,red,Defense
18,0,681,273,Ball,blue,Ball
19,1,692,554,Player,red,Defense
19,2,368,122,Player,red,Defense
19,3,914,123,Player,red,Defense
19,4,468,150,Player,red,Defense
19,5,1090,328,Player,red,Defense
19,6,1085,216,Player,red,Defense
19,7,210,254,Player,red,Defense
19,8,27,255,Player,red,Defense
19,9,1154,178,Player,red,Defense
19,10,1223,226,Player,red,Defense
19,11,507,125,Player,red,Defense
19,0,677,265,Ball,blue,Ball
19,21,640,125,Player,red,Defense
19,0,681,273,Ball,blue,Ball
20,1,693,549,Player,red,Defense
20,2,368,122,Player,red,Defense
20,3,914,123,Player,red,Defense
20,4,469,151,Player,red,Defense
20,5,1090,329,Player,red,Defense
20,6,1085,215,Player,red,Defense
20,7,210,254,Player,red,Defense
20,8,27,255,Player,red,Defense
20,9,1154,178,Player,red,Defense
20,10,1223,226,Player,red,Defense
20,11,507,125,Player,red,Defense
20,21,640,125,Player,red,Defense
20,0,681,273,Ball,blue,Ball
21,1,694,547,Player,red,Defense
21,2,368,122,Player,red,Defense
21,3,914,123,Player,red,Defense
21,4,469,151,Player,red,Defense
21,5,1090,329,Player,red,Defense
21,6,1085,215,Player,red,Defense
21,7,210,254,Player,red,Defense
21,8,27,255,Player,red,Defense
21,9,1154,178,Player,red,Defense
21,10,1223,226,Player,red,Defense
21,11,507,125,Player,red,Defense
21,21,640,125,Player,red,Defense
21,0,681,273,Ball,blue,Ball
22,1,696,543,Player,red,Defense
22,2,368,122,Player,red,Defense
22,3,914,123,Player,red,Defense
22,4,470,151,Player,red,Defense
22,5,1090,329,Player,red,Defense
22,6,1084,217,Player,red,Defense
22,7,210,254,Player,red,Defense
22,8,27,255,Player,red,Defense
22,9,1154,178,Player,red,Defense
22,10,1223,226,Player,red,Defense
22,11,507,125,Player,red,Defense
22,21,640,125,Player,red,Defense
22,0,681,273,Ball,blue,Ball
23,1,697,542,Player,red,Defense
23,2,368,122,Player,red,Defense
23,3,914,123,Player,red,Defense
23,4,470,151,Player,red,Defense
23,5,1090,329,Player,red,Defense
23,6,1084,216,Player,red,Defense
23,7,210,254,Player,red,Defense
23,8,27,255,Player,red,Defense
23,9,1154,178,Player,red,Defense
23,10,1223,226,Player,red,Defense
23,11,507,125,Player,red,Defense
23,21,640,125,Player,red,Defense
23,0,672,303,Ball,blue,Ball
24,1,697,541,Player,red,Defense
24,2,368,122,Player,red,Defense
24,3,914,123,Player,red,Defense
24,4,470,151,Player,red,Defense
24,5,1091,329,Player,red,Defense
24,6,1085,216,Player,red,Defense
24,7,210,254,Player,red,Defense
24,8,27,255,Player,red,Defense
24,9,1154,178,Player,red,Defense
