frame,ID,X,Y,Class,Color,Position
1,0,776,318,Ball,blue,Ball
2,0,762,317,Ball,blue,Ball
3,1,448,402,Player,red,Defense
3,2,708,274,Player,red,Defense
3,3,808,563,Player,red,Defense
3,4,442,225,Player,red,Defense
3,5,394,172,Player,red,Defense
3,6,645,159,Player,red,Defense
3,7,312,150,Player,red,Defense
3,8,960,155,Player,red,Defense
3,9,146,340,Player,red,Defense
3,10,1172,357,Player,red,Defense
3,0,1104,119,Ball,blue,Ball
3,13,1148,226,Player,red,Defense
3,14,146,223,Player,red,Defense
3,15,88,188,Player,red,Defense
3,16,454,83,Player,red,Defense
4,1,448,402,Player,red,Defense
4,2,706,274,Player,red,Defense
4,3,809,563,Player,red,Defense
4,4,442,225,Player,red,Defense
4,5,394,172,Player,red,Defense
4,6,645,159,Player,red,Defense
4,7,312,150,Player,red,Defense
4,8,960,155,Player,red,Defense
4,9,146,340,Player,red,Defense
4,10,1172,357,Player,red,Defense
4,0,1104,119,Ball,blue,Ball
4,13,1148,226,Player,red,Defense
4,14,146,223,Player,red,Defense
4,15,88,189,Player,red,Defense
4,16,454,83,Player,red,Defense
5,1,448,401,Player,red,Defense
5,2,706,274,Player,red,Defense
5,3,813,564,Player,red,Defense
5,4,441,226,Player,red,Defense
5,5,394,172,Player,red,Defense
5,6,645,159,Player,red,Defense
5,7,312,150,Player,red,Defense
5,8,960,155,Player,red,Defense
5,9,146,340,Player,red,Defense
5,10,1172,357,Player,red,Defense
5,0,1104,119,Ball,blue,Ball
5,13,1148,226,Player,red,Defense
5,14,146,223,Player,red,Defense
5,15,88,188,Player,red,Defense
5,16,454,83,Player,red,Defense
6,1,450,401,Player,red,Defense
6,2,703,274,Player,red,Defense
6,3,814,565,Player,red,Defense
6,4,440,226,Player,red,Defense
6,5,394,171,Player,red,Defense
6,6,645,159,Player,red,Defense
6,7,312,150,Player,red,Defense
6,8,960,155,Player,red,Defense
6,9,146,340,Player,red,Defense
6,10,1172,356,Player,red,Defense
6,0,1104,119,Ball,blue,Ball
6,13,1148,227,Player,red,Defense
6,14,146,223,Player,red,Defense
6,15,88,189,Player,red,Defense
6,16,454,83,Player,red,Defense
7,1,449,401,Player,red,Defense
7,2,702,275,Player,red,Defense
7,3,812,570,Player,red,Defense
7,4,438,228,Player,red,Defense
7,5,394,171,Player,red,Defense
7,6,645,159,Player,red,Defense
7,7,312,150,Player,red,Defense
7,8,960,155,Player,red,Defense
7,9,146,340,Player,red,Defense
7,10,1171,356,Player,red,Defense
7,0,1104,119,Ball,blue,Ball
7,13,1148,227,Player,red,Defense
7,14,147,223,Player,red,Defense
7,15,88,189,Player,red,Defense
7,16,455,83,Player,red,Defense
8,1,450,401,Player,red,Defense
8,2,700,276,Player,red,Defense
8,3,806,571,Player,red,Defense
8,4,438,228,Player,red,Defense
8,5,393,171,Player,red,Defense
8,6,645,159,Player,red,Defense
8,7,312,150,Player,red,Defense
8,8,960,155,Player,red,Defense
8,9,146,340,Player,red,Defense
8,10,1171,356,Player,red,Defense
8,0,1104,119,Ball,blue,Ball
8,13,1148,227,Player,red,Defense
8,14,147,223,Player,red,Defense
8,15,88,189,Player,red,Defense
8,16,454,83,Player,red,Defense
9,1,449,400,Player,red,Defense
9,2,700,277,Player,red,Defense
9,3,803,571,Player,red,Defense
9,4,438,229,Player,red,Defense
9,5,393,171,Player,red,Defense
9,6,645,159,Player,red,Defense
9,7,312,150,Player,red,Defense
9,8,960,155,Player,red,Defense
9,9,146,340,Player,red,Defense
9,10,1171,356,Player,red,Defense
9,0,1104,119,Ball,blue,Ball
9,13,1148,227,Player,red,Defense
9,14,147,223,Player,red,Defense
9,15,88,189,Player,red,Defense
9,16,455,83,Player,red,Defense
10,1,449,400,Player,red,Defense
10,2,700,277,Player,red,Defense
10,3,802,571,Player,red,Defense
10,4,438,229,Player,red,Defense
10,5,393,171,Player,red,Defense
10,6,645,159,Player,red,Defense
10,7,312,150,Player,red,Defense
10,8,960,155,Player,red,Defense
10,9,146,340,Player,red,Defense
10,10,1171,356,Player,red,Defense
10,0,1104,119,Ball,blue,Ball
10,13,1148,227,Player,red,Defense
10,14,147,223,Player,red,Defense
10,15,88,189,Player,red,Defense
10,16,455,83,Player,red,Defense
11,1,450,401,Player,red,Defense
11,2,700,277,Player,red,Defense
11,3,800,572,Player,red,Defense
11,4,438,229,Player,red,Defense
11,5,393,171,Player,red,Defense
11,6,645,159,Player,red,Defense
11,7,312,150,Player,red,Defense
11,8,960,155,Player,red,Defense
11,9,146,340,Player,red,Defense
11,10,1171,355,Player,red,Defense
11,0,1104,119,Ball,blue,Ball
11,13,1148,227,Player,red,Defense
11,14,146,223,Player,red,Defense
11,15,88,188,Player,red,Defense
11,16,455,83,Player,red,Defense
12,1,449,401,Player,red,Defense
12,2,700,276,Player,red,Defense
12,3,799,572,Player,red,Defense
12,4,437,229,Player,red,Defense
12,5,392,171,Player,red,Defense
12,6,645,159,Player,red,Defense
12,7,312,150,Player,red,Defense
12,8,960,155,Player,red,Defense
12,9,145,340,Player,red,Defense
12,10,1171,356,Player,red,Defense
12,0,1104,119,Ball,blue,Ball
12,13,1148,227,Player,red,Defense
12,14,146,223,Player,red,Defense
12,15,88,188,Player,red,Defense
12,16,456,83,Player,red,Defense
13,1,449,401,Player,red,Defense
13,2,698,276,Player,red,Defense
13,3,796,572,Player,red,Defense
13,4,434,229,Player,red,Defense
13,5,392,170,Player,red,Defense
13,6,645,159,Player,red,Defense
13,7,312,150,Player,red,Defense
13,8,960,155,Player,red,Defense
13,9,145,340,Player,red,Defense
13,10,1171,356,Player,red,Defense
13,0,1104,119,Ball,blue,Ball
13,13,1148,227,Player,red,Defense
13,14,146,223,Player,red,Defense
13,15,88,188,Player,red,Defense
13,16,456,83,Player,red,Defense
14,1,448,401,Player,red,Defense
14,2,698,277,Player,red,Defense
14,3,794,572,Player,red,Defense
14,4,431,229,Player,red,Defense
14,5,392,170,Player,red,Defense
14,6,645,159,Player,red,Defense
14,7,312,150,Player,red,Defense
14,8,960,155,Player,red,Defense
14,9,145,340,Player,red,Defense
14,10,1171,356,Player,red,Defense
14,0,1104,119,Ball,blue,Ball
14,13,1148,227,Player,red,Defense
14,14,146,223,Player,red,Defense
14,15,88,188,Player,red,Defense
14,16,456,83,Player,red,Defense
15,1,448,400,Player,red,Defense
15,2,696,278,Player,red,Defense
15,3,796,572,Player,red,Defense
15,4,428,228,Player,red,Defense
15,5,392,170,Player,red,Defense
15,6,645,159,Player,red,Defense
15,7,312,150,Player,red,Defense
15,8,960,155,Player,red,Defense
15,9,145,340,Player,red,Defense
15,10,1171,356,Player,red,Defense
15,0,1104,119,Ball,blue,Ball
15,13,1148,227,Player,red,Defense
15,14,146,223,Player,red,Defense
15,15,88,188,Player,red,Defense
15,16,456,83,Player,red,Defense
16,1,448,400,Player,red,Defense
16,2,695,278,Player,red,Defense
16,3,796,572,Player,red,Defense
16,4,426,227,Player,red,Defense
16,5,392,170,Player,red,Defense
16,6,645,159,Player,red,Defense
16,7,312,150,Player,red,Defense
16,8,960,155,Player,red,Defense
16,9,145,341,Player,red,Defense
16,10,1172,356,Player,red,Defense
16,0,1104,119,Ball,blue,Ball
16,13,1148,227,Player,red,Defense
16,14,146,223,Player,red,Defense
16,15,88,187,Player,red,Defense
16,16,456,83,Player,red,Defense
17,1,449,401,Player,red,Defense
17,2,693,279,Player,red,Defense
17,3,796,572,Player,red,Defense
17,4,423,229,Player,red,Defense
17,5,392,170,Player,red,Defense
17,6,645,159,Player,red,Defense
17,7,312,150,Player,red,Defense
17,8,960,155,Player,red,Defense
17,9,145,341,Player,red,Defense
17,10,1171,356,Player,red,Defense
