frame_number,timestamp,corners_found,corners,valid
0,0.0,4,"[(np.int32(565), np.int32(6)), (np.int32(224), np.int32(665)), (np.int32(897), np.int32(221)), (np.int32(1137), np.int32(584))]",True
30,0.9990933998186763,4,"[(np.int32(485), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(220)), (np.int32(1138), np.int32(584))]",True
60,1.9981867996373526,4,"[(np.int32(485), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(897), np.int32(221)), (np.int32(1137), np.int32(584))]",True
90,2.997280199456029,4,"[(np.int32(523), np.int32(88)), (np.int32(229), np.int32(665)), (np.int32(831), np.int32(221)), (np.int32(1018), np.int32(596))]",True
120,3.996373599274705,4,"[(np.int32(518), np.int32(99)), (np.int32(229), np.int32(665)), (np.int32(832), np.int32(221)), (np.int32(1033), np.int32(627))]",True
150,4.995466999093382,4,"[(np.int32(490), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(832), np.int32(221)), (np.int32(1033), np.int32(619))]",True
180,5.994560398912058,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(831), np.int32(221)), (np.int32(1032), np.int32(624))]",True
210,6.993653798730734,4,"[(np.int32(484), np.int32(153)), (np.int32(224), np.int32(665)), (np.int32(830), np.int32(221)), (np.int32(1039), np.int32(629))]",True
240,7.99274719854941,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(896), np.int32(221)), (np.int32(1137), np.int32(584))]",True
270,8.991840598368087,4,"[(np.int32(485), np.int32(153)), (np.int32(224), np.int32(665)), (np.int32(892), np.int32(220)), (np.int32(1137), np.int32(584))]",True
300,9.990933998186764,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(676)), (np.int32(896), np.int32(221)), (np.int32(1138), np.int32(584))]",True
330,10.99002739800544,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(220)), (np.int32(1137), np.int32(584))]",True
360,11.989120797824116,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(897), np.int32(221)), (np.int32(1137), np.int32(584))]",True
390,12.988214197642792,4,"[(np.int32(488), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(220)), (np.int32(1137), np.int32(584))]",True
420,13.987307597461468,4,"[(np.int32(482), np.int32(159)), (np.int32(229), np.int32(665)), (np.int32(897), np.int32(221)), (np.int32(1138), np.int32(584))]",True
450,14.986400997280144,4,"[(np.int32(484), np.int32(153)), (np.int32(223), np.int32(665)), (np.int32(892), np.int32(220)), (np.int32(1137), np.int32(584))]",True
480,15.98549439709882,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(891), np.int32(219)), (np.int32(1137), np.int32(583))]",True
510,16.9845877969175,4,"[(np.int32(480), np.int32(158)), (np.int32(229), np.int32(665)), (np.int32(891), np.int32(219)), (np.int32(1138), np.int32(583))]",True
540,17.983681196736175,4,"[(np.int32(481), np.int32(159)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1138), np.int32(583))]",True
570,18.98277459655485,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1137), np.int32(583))]",True
600,19.981867996373527,4,"[(np.int32(562), np.int32(0)), (np.int32(223), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1137), np.int32(583))]",True
630,20.980961396192203,4,"[(np.int32(562), np.int32(0)), (np.int32(223), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1138), np.int32(583))]",True
660,21.98005479601088,4,"[(np.int32(480), np.int32(159)), (np.int32(224), np.int32(665)), (np.int32(884), np.int32(208)), (np.int32(1138), np.int32(583))]",True
690,22.979148195829556,4,"[(np.int32(484), np.int32(159)), (np.int32(224), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1138), np.int32(583))]",True
720,23.97824159564823,4,"[(np.int32(485), np.int32(153)), (np.int32(224), np.int32(665)), (np.int32(891), np.int32(219)), (np.int32(1142), np.int32(583))]",True
750,24.977334995466908,4,"[(np.int32(484), np.int32(153)), (np.int32(229), np.int32(665)), (np.int32(892), np.int32(219)), (np.int32(1138), np.int32(583))]",True
780,25.976428395285584,4,"[(np.int32(484), np.int32(153)), (np.int32(223), np.int32(664)), (np.int32(891), np.int32(219)), (np.int32(1137), np.int32(583))]",True
810,26.97552179510426,4,"[(np.int32(484), np.int32(153)), (np.int32(224), np.int32(664)), (np.int32(830), np.int32(219)), (np.int32(1012), np.int32(585))]",True
840,27.974615194922936,4,"[(np.int32(484), np.int32(153)), (np.int32(224), np.int32(664)), (np.int32(831), np.int32(221)), (np.int32(1030), np.int32(613))]",True
870,28.973708594741613,4,"[(np.int32(484), np.int32(153)), (np.int32(228), np.int32(665)), (np.int32(824), np.int32(206)), (np.int32(1026), np.int32(604))]",True
