frame,ID,X,Y,Class,Color,Position
3,1,477,636,Player,red,Defense
3,2,118,340,Player,red,Defense
3,3,709,215,Player,red,Defense
3,4,375,152,Player,red,Defense
3,5,919,152,Player,red,Defense
3,6,1126,254,Player,red,Defense
3,7,467,62,Player,red,Defense
3,8,535,61,Player,red,Defense
3,9,1013,114,Player,red,Defense
3,10,56,140,Player,red,Defense
3,11,1114,363,Player,red,Defense
3,12,989,117,Player,red,Defense
3,14,198,116,Player,red,Defense
3,0,1261,382,Ball,blue,Ball
4,1,496,638,Player,red,Defense
4,2,118,340,Player,red,Defense
4,3,709,215,Player,red,Defense
4,4,376,152,Player,red,Defense
4,5,919,152,Player,red,Defense
4,6,1126,254,Player,red,Defense
4,7,467,62,Player,red,Defense
4,8,535,61,Player,red,Defense
4,9,1014,114,Player,red,Defense
4,10,56,140,Player,red,Defense
4,11,1113,363,Player,red,Defense
4,12,989,117,Player,red,Defense
4,14,198,116,Player,red,Defense
4,0,1261,382,Ball,blue,Ball
5,1,512,640,Player,red,Defense
5,2,118,340,Player,red,Defense
5,3,709,215,Player,red,Defense
5,4,376,152,Player,red,Defense
5,5,918,152,Player,red,Defense
5,6,1126,254,Player,red,Defense
5,7,467,62,Player,red,Defense
5,8,535,61,Player,red,Defense
5,9,1014,114,Player,red,Defense
5,10,56,140,Player,red,Defense
5,11,1113,363,Player,red,Defense
5,12,989,117,Player,red,Defense
5,14,197,116,Player,red,Defense
5,0,1260,382,Ball,blue,Ball
6,1,530,639,Player,red,Defense
6,2,118,340,Player,red,Defense
6,3,710,215,Player,red,Defense
6,4,376,152,Player,red,Defense
6,5,918,152,Player,red,Defense
6,6,1126,254,Player,red,Defense
6,7,467,62,Player,red,Defense
6,8,535,61,Player,red,Defense
6,9,1014,114,Player,red,Defense
6,10,56,140,Player,red,Defense
6,11,1113,363,Player,red,Defense
6,12,989,117,Player,red,Defense
6,14,198,116,Player,red,Defense
6,0,1260,382,Ball,blue,Ball
7,1,542,643,Player,red,Defense
7,2,117,340,Player,red,Defense
7,3,710,215,Player,red,Defense
7,4,376,152,Player,red,Defense
7,5,918,152,Player,red,Defense
7,6,1124,254,Player,red,Defense
7,7,466,62,Player,red,Defense
7,8,535,61,Player,red,Defense
7,9,1014,114,Player,red,Defense
7,10,56,140,Player,red,Defense
7,11,1114,363,Player,red,Defense
7,12,989,117,Player,red,Defense
7,14,198,116,Player,red,Defense
7,0,1261,382,Ball,blue,Ball
8,1,1012,670,Player,red,Defense
8,2,110,341,Player,red,Defense
8,3,626,209,Player,red,Defense
8,4,370,151,Player,red,Defense
8,5,914,153,Player,red,Defense
8,6,1120,265,Player,red,Defense
8,7,460,63,Player,red,Defense
8,8,529,61,Player,red,Defense
8,10,52,140,Player,red,Defense
8,11,1108,363,Player,red,Defense
8,12,983,117,Player,red,Defense
8,63,217,115,Player,red,Defense
8,64,708,718,Player,red,Defense
8,70,1108,718,Player,red,Defense
8,81,1268,58,Player,red,Defense
8,0,1255,383,Ball,blue,Ball
9,1,1081,671,Player,red,Defense
9,2,110,341,Player,red,Defense
9,3,614,206,Player,red,Defense
9,4,369,151,Player,red,Defense
9,5,913,153,Player,red,Defense
9,6,1119,265,Player,red,Defense
9,7,460,62,Player,red,Defense
9,8,528,61,Player,red,Defense
9,10,50,140,Player,red,Defense
9,11,1108,363,Player,red,Defense
9,12,982,117,Player,red,Defense
9,63,216,115,Player,red,Defense
9,64,708,718,Player,red,Defense
9,70,1106,718,Player,red,Defense
9,81,1267,59,Player,red,Defense
9,0,988,394,Ball,blue,Ball
10,1,1097,669,Player,red,Defense
10,2,110,341,Player,red,Defense
10,3,612,206,Player,red,Defense
10,4,369,151,Player,red,Defense
10,5,912,153,Player,red,Defense
10,6,1118,264,Player,red,Defense
10,7,460,62,Player,red,Defense
10,8,528,61,Player,red,Defense
10,10,50,140,Player,red,Defense
10,11,1108,363,Player,red,Defense
10,12,982,117,Player,red,Defense
10,0,1254,382,Ball,blue,Ball
10,63,216,115,Player,red,Defense
10,64,708,718,Player,red,Defense
10,70,1107,718,Player,red,Defense
10,81,1267,59,Player,red,Defense
11,1,1107,668,Player,red,Defense
11,2,111,341,Player,red,Defense
11,3,612,206,Player,red,Defense
11,4,369,151,Player,red,Defense
11,5,912,153,Player,red,Defense
11,6,1118,263,Player,red,Defense
11,7,460,62,Player,red,Defense
11,8,528,62,Player,red,Defense
11,10,50,141,Player,red,Defense
11,11,1108,363,Player,red,Defense
11,12,982,117,Player,red,Defense
11,0,1254,382,Ball,blue,Ball
11,63,216,115,Player,red,Defense
11,64,708,718,Player,red,Defense
11,70,1107,718,Player,red,Defense
11,81,1266,59,Player,red,Defense
