frame_number,timestamp,corners_found,corners,valid
0,0.0,4,"[(np.int32(498), np.int32(1)), (np.int32(144), np.int32(575)), (np.int32(925), np.int32(214)), (np.int32(1160), np.int32(576))]",True
25,0.9983579638752054,4,"[(np.int32(365), np.int32(213)), (np.int32(145), np.int32(575)), (np.int32(924), np.int32(214)), (np.int32(1160), np.int32(576))]",True
50,1.9967159277504107,4,"[(np.int32(496), np.int32(1)), (np.int32(142), np.int32(575)), (np.int32(923), np.int32(215)), (np.int32(1153), np.int32(577))]",True
75,2.995073891625616,4,"[(np.int32(367), np.int32(213)), (np.int32(141), np.int32(575)), (np.int32(805), np.int32(38)), (np.int32(1152), np.int32(577))]",True
100,3.9934318555008215,4,"[(np.int32(361), np.int32(213)), (np.int32(136), np.int32(576)), (np.int32(847), np.int32(215)), (np.int32(1085), np.int32(716))]",True
125,4.991789819376026,4,"[(np.int32(360), np.int32(213)), (np.int32(134), np.int32(576)), (np.int32(798), np.int32(30)), (np.int32(1146), np.int32(577))]",True
150,5.990147783251232,4,"[(np.int32(355), np.int32(214)), (np.int32(135), np.int32(576)), (np.int32(799), np.int32(32)), (np.int32(1150), np.int32(576))]",True
175,6.988505747126437,4,"[(np.int32(357), np.int32(214)), (np.int32(137), np.int32(576)), (np.int32(916), np.int32(214)), (np.int32(1147), np.int32(577))]",True
200,7.986863711001643,4,"[(np.int32(491), np.int32(1)), (np.int32(137), np.int32(576)), (np.int32(920), np.int32(215)), (np.int32(1153), np.int32(577))]",True
225,8.985221674876847,4,"[(np.int32(357), np.int32(213)), (np.int32(135), np.int32(577)), (np.int32(918), np.int32(214)), (np.int32(1150), np.int32(578))]",True
250,9.983579638752053,4,"[(np.int32(357), np.int32(213)), (np.int32(135), np.int32(577)), (np.int32(919), np.int32(215)), (np.int32(1150), np.int32(578))]",True
275,10.981937602627259,4,"[(np.int32(361), np.int32(213)), (np.int32(130), np.int32(577)), (np.int32(796), np.int32(21)), (np.int32(1155), np.int32(578))]",True
300,11.980295566502464,4,"[(np.int32(357), np.int32(214)), (np.int32(135), np.int32(578)), (np.int32(918), np.int32(214)), (np.int32(1150), np.int32(578))]",True
325,12.978653530377668,4,"[(np.int32(355), np.int32(214)), (np.int32(131), np.int32(577)), (np.int32(920), np.int32(215)), (np.int32(1150), np.int32(578))]",True
350,13.977011494252874,4,"[(np.int32(362), np.int32(213)), (np.int32(134), np.int32(578)), (np.int32(918), np.int32(214)), (np.int32(1151), np.int32(579))]",True
375,14.97536945812808,4,"[(np.int32(488), np.int32(1)), (np.int32(134), np.int32(578)), (np.int32(919), np.int32(217)), (np.int32(1150), np.int32(579))]",True
400,15.973727422003286,4,"[(np.int32(361), np.int32(214)), (np.int32(134), np.int32(578)), (np.int32(918), np.int32(215)), (np.int32(1150), np.int32(579))]",True
425,16.97208538587849,4,"[(np.int32(361), np.int32(214)), (np.int32(135), np.int32(578)), (np.int32(801), np.int32(31)), (np.int32(1155), np.int32(579))]",True
450,17.970443349753694,4,"[(np.int32(481), np.int32(22)), (np.int32(135), np.int32(579)), (np.int32(920), np.int32(216)), (np.int32(1151), np.int32(580))]",True
475,18.9688013136289,4,"[(np.int32(349), np.int32(233)), (np.int32(134), np.int32(579)), (np.int32(920), np.int32(219)), (np.int32(1155), np.int32(579))]",True
500,19.967159277504106,4,"[(np.int32(356), np.int32(215)), (np.int32(135), np.int32(579)), (np.int32(921), np.int32(216)), (np.int32(1151), np.int32(580))]",True
525,20.965517241379313,4,"[(np.int32(496), np.int32(2)), (np.int32(130), np.int32(579)), (np.int32(919), np.int32(216)), (np.int32(1150), np.int32(580))]",True
550,21.963875205254517,4,"[(np.int32(495), np.int32(2)), (np.int32(130), np.int32(579)), (np.int32(920), np.int32(217)), (np.int32(1154), np.int32(580))]",True
575,22.96223316912972,4,"[(np.int32(362), np.int32(215)), (np.int32(135), np.int32(580)), (np.int32(920), np.int32(217)), (np.int32(1154), np.int32(580))]",True
