ID,TotalDistance,AverageSpeed,MaxSpeed,AverageSpeedKmh,MaxSpeedKmh,FrameCount,ValidMovements,FilteredMovements,DetectionGaps,MovementSegments,CourtCoverage,TimeActive,DistancePerMinute
1,27.68819052594728,4.153228578892094,9.83989199449157,14.951622884011538,35.42361118016965,271,200,70,0,1,31.67026612264016,9.0,184.58793683964853
2,2.8290868629516397,3.857845722206781,7.428689961021832,13.88824459994441,26.743283859678595,271,22,248,0,1,32.20705291814445,9.0,18.860579086344266
3,26.711258647491718,4.553055451276995,10.984501622798069,16.390999624597182,39.54420584207305,271,176,94,0,1,135.03966382610162,9.0,178.0750576499448
4,1.9595567391680893,4.522054013464823,4.983087308430191,16.27939444847336,17.93911431034869,271,13,257,0,1,20.285760816350763,9.0,13.063711594453927
5,4.341329298106853,6.511993947160278,10.124557871662379,23.443178209777,36.44840833798457,271,20,250,0,1,23.456850785878977,9.0,28.942195320712354
6,9.382183586472705,5.026169778467519,11.862841191517123,18.09421120248307,42.70622828946165,271,56,214,0,1,117.86044245172035,9.0,62.5478905764847
7,3.2077238459834843,5.591721730780041,8.999271842241942,20.130198230808148,32.397378632070996,270,16,253,1,2,17.324326982974362,9.0,21.384825639889897
8,8.507460833836042,5.810747429561566,11.663512882365138,20.91869074642164,41.988646376514495,263,43,218,1,2,52.03234797868875,9.0,56.71640555890695
9,0.0,0.0,0.0,0.0,0.0,5,0,4,0,1,3.0042383676064883,0.13333333333333333,0.0
10,1.866744717923353,5.60023415377006,6.637517541984908,20.160842953572217,23.89506315114567,271,10,260,0,1,1108.4475427925527,9.0,12.444964786155687
11,0.7467592573687772,2.8003472151329154,4.237471567831079,10.081249974478496,15.254897644191885,46,8,37,0,1,0.31329441127574176,1.5,29.87037029475109
12,0.4030415671954429,3.1207539344827833,5.934945411443164,11.23471416413802,21.36580348119539,238,3,233,4,5,253.9099268870783,9.0,2.6869437813029524
14,0.19502968284401823,3.155127944164767,5.850890485320547,11.358460598993162,21.06320574715397,176,1,173,3,4,907.7095427551006,7.1,1.6481381648790274
63,0.0,0.0,0.0,0.0,0.0,58,0,57,1,2,463.00418006020016,2.2333333333333334,0.0
64,0.0,0.0,0.0,0.0,0.0,6,0,5,0,1,1.4828756994950008e-05,0.16666666666666666,0.0
70,0.0,0.0,0.0,0.0,0.0,53,0,52,0,1,0.03388708281261592,1.7333333333333334,0.0
81,0.5192980772435801,5.192980772435802,7.628981196543555,18.694730780768886,27.4643323075568,8,3,4,0,1,0.0074038314323234804,0.23333333333333334,133.53379129120634
98,0.0,0.0,0.0,0.0,0.0,6,0,5,0,1,1.615511431424469e-07,0.16666666666666666,0.0
115,0.0,0.738639839513609,0.738639839513609,2.6591034222489927,2.6591034222489927,14,0,12,2,3,1.3987515734504223,1.5333333333333334,0.0
124,0.0,0.0,0.0,0.0,0.0,11,0,10,0,1,1.0949337178108873,0.3333333333333333,0.0
133,0.8771318723817823,8.771318723817823,8.771318723817823,31.57674740574416,31.57674740574416,8,3,4,0,1,0.01903556979251136,0.23333333333333334,225.54819575531545
157,0.0,0.0,0.0,0.0,0.0,13,0,12,0,1,1.1205507347961198e-05,0.4,0.0
168,0.09719627859530258,2.9158883578590773,2.9158883578590773,10.497198088292679,10.497198088292679,18,1,16,0,1,0.3181523474389175,0.5666666666666667,10.291370674796744
178,1.9181165781676528,5.7543497345029575,5.880607125804193,20.715659044210646,21.170185652895096,168,10,157,1,2,396.84302215819946,6.1,18.866720440993305
179,0.0,0.0,0.0,0.0,0.0,16,0,15,1,2,0.010997205673941015,0.6333333333333333,0.0
181,0.0,0.0,0.0,0.0,0.0,24,0,23,0,1,1.3881715735965596,0.7666666666666667,0.0
205,0.08419259535856123,2.525777860756837,2.525777860756837,9.092800298724613,9.092800298724613,58,1,56,0,1,13.060130825637573,1.9,2.658713537638776
209,0.20175531177757278,2.0175531177757278,2.0175531177757278,7.26319122399262,7.26319122399262,66,3,62,3,4,16.921006119882545,3.0,4.0351062355514555
218,0.0,0.0,0.0,0.0,0.0,109,0,108,2,3,793.5077433765932,3.9,0.0
270,0.0,0.0,0.0,0.0,0.0,9,0,8,0,1,1.1183184185879725e-05,0.26666666666666666,0.0
279,0.0,0.0,0.0,0.0,0.0,7,0,6,0,1,0.0,0.2,0.0
317,1.1627450531219845,5.813725265609922,5.828056703610645,20.92941095619572,20.981004132998326,86,6,79,0,1,2.200892727814471,2.8333333333333335,24.622836419053787
328,0.0,0.0,0.0,0.0,0.0,32,0,31,0,1,0.009787456381605903,1.0333333333333334,0.0
332,0.0,0.0,0.0,0.0,0.0,5,0,4,0,1,0.0,0.13333333333333333,0.0
340,0.0,0.0,0.0,0.0,0.0,7,0,6,0,1,9.133361117338435e-05,0.2,0.0
353,0.2052513119586899,2.052513119586899,2.135127461547261,7.389047230512836,7.68645886157014,38,3,34,0,1,0.1257080935093366,1.2333333333333334,9.98519896015248
395,0.0,0.0,0.0,0.0,0.0,4,0,3,0,1,1.6779306812859827e-05,0.1,0.0
410,0.1892429878335549,5.677289635006647,5.677289635006647,20.43824268602393,20.43824268602393,36,1,34,1,2,0.004652574360608532,1.2666666666666666,8.964141528957864
440,0.0,0.0,0.0,0.0,0.0,11,0,10,0,1,0.0,0.3333333333333333,0.0
447,0.0,0.0,0.0,0.0,0.0,23,0,22,0,1,1.6295394372951347e-07,0.7333333333333333,0.0
449,0.0,0.0,0.0,0.0,0.0,21,0,20,0,1,1.6477587516799322e-07,0.6666666666666666,0.0
